timestep,zone,mean_ps2,n,scenario,mode,rep
56,outer,0.0,1,official_zones,sys1_only,0
57,outer,0.0,2,official_zones,sys1_only,0
58,outer,0.0,2,official_zones,sys1_only,0
69,outer,0.0,1,official_zones,sys1_only,0
70,outer,0.0,1,official_zones,sys1_only,0
71,outer,0.0,1,official_zones,sys1_only,0
0,inner,0.0,29,official_zones,sys1_only,1
1,inner,0.0,26,official_zones,sys1_only,1
2,inner,0.0,19,official_zones,sys1_only,1
3,inner,0.0,11,official_zones,sys1_only,1
4,inner,0.0,8,official_zones,sys1_only,1
5,inner,0.0,6,official_zones,sys1_only,1
6,inner,0.0,6,official_zones,sys1_only,1
7,inner,0.0,7,official_zones,sys1_only,1
8,inner,0.0,6,official_zones,sys1_only,1
9,inner,0.0,7,official_zones,sys1_only,1
10,inner,0.0,8,official_zones,sys1_only,1
11,inner,0.0,8,official_zones,sys1_only,1
12,inner,0.0,8,official_zones,sys1_only,1
13,inner,0.0,8,official_zones,sys1_only,1
14,inner,0.0,8,official_zones,sys1_only,1
15,inner,0.0,6,official_zones,sys1_only,1
16,inner,0.0,6,official_zones,sys1_only,1
17,inner,0.0,7,official_zones,sys1_only,1
18,inner,0.0,5,official_zones,sys1_only,1
19,inner,0.0,3,official_zones,sys1_only,1
20,inner,0.0,5,official_zones,sys1_only,1
21,inner,0.0,3,official_zones,sys1_only,1
22,inner,0.0,4,official_zones,sys1_only,1
23,inner,0.0,4,official_zones,sys1_only,1
24,inner,0.0,4,official_zones,sys1_only,1
25,inner,0.0,3,official_zones,sys1_only,1
26,inner,0.0,2,official_zones,sys1_only,1
27,inner,0.0,1,official_zones,sys1_only,1
28,inner,0.0,2,official_zones,sys1_only,1
29,inner,0.0,2,official_zones,sys1_only,1
30,inner,0.0,3,official_zones,sys1_only,1
31,inner,0.0,3,official_zones,sys1_only,1
32,inner,0.0,2,official_zones,sys1_only,1
33,inner,0.0,2,official_zones,sys1_only,1
34,inner,0.0,1,official_zones,sys1_only,1
35,inner,0.0,1,official_zones,sys1_only,1
36,inner,0.0,1,official_zones,sys1_only,1
37,inner,0.0,1,official_zones,sys1_only,1
38,inner,0.0,2,official_zones,sys1_only,1
39,inner,0.0,2,official_zones,sys1_only,1
40,inner,0.0,1,official_zones,sys1_only,1
44,inner,0.0,1,official_zones,sys1_only,1
45,inner,0.0,2,official_zones,sys1_only,1
46,inner,0.0,2,official_zones,sys1_only,1
47,inner,0.0,2,official_zones,sys1_only,1
48,inner,0.0,2,official_zones,sys1_only,1
49,inner,0.0,2,official_zones,sys1_only,1
50,inner,0.0,1,official_zones,sys1_only,1
0,mid,0.0,103,official_zones,sys1_only,1
1,mid,0.0,107,official_zones,sys1_only,1
2,mid,0.0,97,official_zones,sys1_only,1
3,mid,0.0,91,official_zones,sys1_only,1
4,mid,0.0,73,official_zones,sys1_only,1
5,mid,0.0,66,official_zones,sys1_only,1
6,mid,0.0,57,official_zones,sys1_only,1
7,mid,0.0,47,official_zones,sys1_only,1
8,mid,0.0,42,official_zones,sys1_only,1
9,mid,0.0,36,official_zones,sys1_only,1
10,mid,0.0,27,official_zones,sys1_only,1
11,mid,0.0,24,official_zones,sys1_only,1
12,mid,0.0,22,official_zones,sys1_only,1
13,mid,0.0,19,official_zones,sys1_only,1
14,mid,0.0,14,official_zones,sys1_only,1
15,mid,0.0,14,official_zones,sys1_only,1
16,mid,0.0,15,official_zones,sys1_only,1
17,mid,0.0,13,official_zones,sys1_only,1
18,mid,0.0,15,official_zones,sys1_only,1
19,mid,0.0,15,official_zones,sys1_only,1
20,mid,0.0,11,official_zones,sys1_only,1
21,mid,0.0,12,official_zones,sys1_only,1
22,mid,0.0,9,official_zones,sys1_only,1
23,mid,0.0,8,official_zones,sys1_only,1
24,mid,0.0,7,official_zones,sys1_only,1
25,mid,0.0,9,official_zones,sys1_only,1
26,mid,0.0,9,official_zones,sys1_only,1
27,mid,0.0,9,official_zones,sys1_only,1
28,mid,0.0,7,official_zones,sys1_only,1
29,mid,0.0,5,official_zones,sys1_only,1
30,mid,0.0,3,official_zones,sys1_only,1
31,mid,0.0,3,official_zones,sys1_only,1
32,mid,0.0,4,official_zones,sys1_only,1
33,mid,0.0,5,official_zones,sys1_only,1
34,mid,0.0,5,official_zones,sys1_only,1
35,mid,0.0,6,official_zones,sys1_only,1
36,mid,0.0,5,official_zones,sys1_only,1
37,mid,0.0,5,official_zones,sys1_only,1
38,mid,0.0,3,official_zones,sys1_only,1
39,mid,0.0,3,official_zones,sys1_only,1
40,mid,0.0,4,official_zones,sys1_only,1
41,mid,0.0,5,official_zones,sys1_only,1
42,mid,0.0,4,official_zones,sys1_only,1
43,mid,0.0,4,official_zones,sys1_only,1
44,mid,0.0,2,official_zones,sys1_only,1
45,mid,0.0,1,official_zones,sys1_only,1
46,mid,0.0,1,official_zones,sys1_only,1
47,mid,0.0,1,official_zones,sys1_only,1
48,mid,0.0,1,official_zones,sys1_only,1
49,mid,0.0,1,official_zones,sys1_only,1
50,mid,0.0,2,official_zones,sys1_only,1
51,mid,0.0,2,official_zones,sys1_only,1
