scenario,mode,rep,hayano_t4,mid_ps2_dip,mid_ps2_trough,mid_ps2_recovery,corridor_inland_pct,inner_clearance_t7,mean_path_length,iitate_clearance_t4,iitate_ps2_mean_t2
official_zones,blend,2,0.38392857142857145,0.3217336523014606,0.0984300225364631,0.07437551273319762,0.28735632183908044,0.6,90.5752508361204,0.3333333333333333,0.1754179934506265
official_zones,blend,4,0.49107142857142855,0.32395176834868006,0.10693838495764611,0.15628480296591302,0.33695652173913043,0.72,97.14,0.3333333333333333,0.19844687659976284
official_zones,blend,3,0.4642857142857143,0.3174217370451834,0.1032832584256019,0.107516796421113,0.3764705882352941,0.72,96.99665551839465,0.8666666666666667,0.13558914648063297
official_zones,blend,6,0.42857142857142855,0.309724431767617,0.1144242634478009,0.08939711680063292,0.36082474226804123,0.52,95.31666666666666,0.5,0.16393883941939374
official_zones,blend,7,0.48214285714285715,0.3284635731180671,0.07940029245929732,0.10854714857816176,0.29473684210526313,0.6,91.05666666666667,0.5454545454545454,0.22669523437172545
official_zones,blend,8,0.45535714285714285,0.33406757086694044,0.11464916721616347,0.09061489757620153,0.30927835051546393,0.76,93.37458193979933,0.36363636363636365,0.16627291043765896
official_zones,blend,10,0.4107142857142857,0.2993922205804699,0.10842011988698867,0.12451699996230474,0.3854166666666667,0.72,92.87959866220736,0.5555555555555556,0.24031423023819348
official_zones,blend,11,0.4732142857142857,0.3274775311912791,0.11408887592338542,0.05637902532518134,0.25882352941176473,0.64,87.3,0.6666666666666666,0.07386897398519537
official_zones,blend,9,0.4732142857142857,0.3115935371810727,0.10498968967769338,0.2091075556947301,0.36046511627906974,0.76,90.06666666666666,0.8,0.08758818337651232
official_zones,blend,12,0.49107142857142855,0.3601300920960349,0.0645573479246564,0.12400769859336375,0.38,0.8,88.05666666666667,0.5555555555555556,0.1907392804110983
official_zones,blend,13,0.42857142857142855,0.29200871247469656,0.11126816367400459,0.06294764442044658,0.33707865168539325,0.8,91.41666666666667,0.6666666666666666,0.16331181790335794
official_zones,blend,15,0.4732142857142857,0.3338140249167454,0.09198954157773902,0.03151683175595703,0.3191489361702128,0.8,92.48494983277592,0.8,0.12135708883140257
official_zones,blend,14,0.4732142857142857,0.30681212878944153,0.1189801973943128,0.11880924598802682,0.33980582524271846,0.72,94.73333333333333,0.5833333333333334,0.10892736136691084
official_zones,blend,16,0.4732142857142857,0.3174314708610447,0.1196644897560859,0.13605032069719425,0.3541666666666667,0.72,95.22408026755853,0.6,0.11911808116384168
dosimeter_proxy,sys1_only,0,0.21428571428571427,0.0,0.0,0.0,0.3111111111111111,0.36,80.01,0.5,0.0
official_zones,blend,19,0.5357142857142857,0.33575991815582557,0.10600833996460346,0.0431314397669198,0.35294117647058826,0.8,91.29,0.2857142857142857,0.1010953434185597
official_zones,blend,17,0.39285714285714285,0.30631943275521917,0.10808745293515022,0.16965167638938966,0.25842696629213485,0.8,95.74666666666667,0.625,0.1641795889357424
dosimeter_proxy,sys1_only,1,0.14285714285714285,0.0,0.0,0.0,0.1958762886597938,0.16,85.81270903010034,0.25,0.0
official_zones,blend,18,0.39285714285714285,0.3236880717632631,0.1114002881625168,0.055432458198203235,0.4044943820224719,0.6,93.13333333333334,0.42857142857142855,0.17333797958365849
dosimeter_proxy,sys1_only,2,0.19642857142857142,0.0,0.0,0.0,0.2222222222222222,0.24,86.06333333333333,0.5,0.0
dosimeter_proxy,sys1_only,3,0.20535714285714285,0.0,0.0,0.0,0.3010752688172043,0.36,83.47333333333333,0.3333333333333333,0.0
dosimeter_proxy,sys1_only,4,0.15178571428571427,0.0,0.0,0.0,0.2235294117647059,0.32,83.21,0.4166666666666667,0.0
dosimeter_proxy,sys1_only,5,0.19642857142857142,0.0,0.0,0.0,0.32978723404255317,0.28,89.45637583892618,0.6,0.0
dosimeter_proxy,sys1_only,8,0.22321428571428573,0.0,0.0,0.0,0.3111111111111111,0.36,79.36789297658864,0.5714285714285714,0.0
dosimeter_proxy,sys1_only,6,0.22321428571428573,0.0,0.0,0.0,0.2125,0.4,82.81333333333333,0.5714285714285714,0.0
dosimeter_proxy,sys1_only,7,0.20535714285714285,0.0,0.0,0.0,0.3068181818181818,0.4,83.1,0.42857142857142855,0.0
dosimeter_proxy,sys1_only,9,0.1875,0.0,0.0,0.0,0.24096385542168675,0.4,83.19732441471572,0.4,0.0
dosimeter_proxy,sys1_only,10,0.23214285714285715,0.0,0.0,0.0,0.30337078651685395,0.48,84.84,0.5,0.0
dosimeter_proxy,sys1_only,12,0.16964285714285715,0.0,0.0,0.0,0.21686746987951808,0.36,81.83946488294315,0.4444444444444444,0.0
dosimeter_proxy,sys1_only,11,0.15178571428571427,0.0,0.0,0.0,0.24705882352941178,0.32,83.38333333333334,0.45454545454545453,0.0
dosimeter_proxy,sys1_only,13,0.15178571428571427,0.0,0.0,0.0,0.2736842105263158,0.2,83.36666666666666,0.4166666666666667,0.0
dosimeter_proxy,sys1_only,15,0.20535714285714285,0.0,0.0,0.0,0.19767441860465115,0.28,81.28428093645485,0.6875,0.0
dosimeter_proxy,sys1_only,14,0.17857142857142858,0.0,0.0,0.0,0.2125,0.36,82.91973244147157,0.3333333333333333,0.0
dosimeter_proxy,sys1_only,16,0.17857142857142858,0.0,0.0,0.0,0.23863636363636365,0.4,81.04666666666667,0.5,0.0
dosimeter_proxy,sys1_only,17,0.21428571428571427,0.0,0.0,0.0,0.30851063829787234,0.28,81.21,0.5454545454545454,0.0
dosimeter_proxy,sys1_only,18,0.16071428571428573,0.0,0.0,0.0,0.24468085106382978,0.2,84.89333333333333,0.7777777777777778,0.0
dosimeter_proxy,sys1_only,19,0.1875,0.0,0.0,0.0,0.2553191489361702,0.32,83.58389261744966,0.2,0.0
dosimeter_proxy,blend,0,0.24107142857142858,0.3586900829420395,0.062360350078675734,0.06949495138382472,0.29213483146067415,0.48,92.03344481605352,0.5454545454545454,0.1249161637124963
dosimeter_proxy,blend,2,0.22321428571428573,0.3529909031953545,0.0709173094988218,0.0023433558907182545,0.2736842105263158,0.6,87.65,0.8,0.10769697385384827
dosimeter_proxy,blend,1,0.3125,0.3143422882299174,0.0879602719709961,0.03526358977726066,0.1595744680851064,0.52,91.80333333333333,0.3,0.1485471925297067
dosimeter_proxy,blend,5,0.32142857142857145,0.2880159529065284,0.14746004109636196,0.02424590786209163,0.28421052631578947,0.52,91.20666666666666,0.8,0.14191654672640677
dosimeter_proxy,blend,4,0.25,0.3461034003224848,0.054406611893340055,0.0,0.2765957446808511,0.44,89.16666666666667,0.7142857142857143,0.03828056402128372
dosimeter_proxy,blend,3,0.30357142857142855,0.3090052150565585,0.14320693910836074,0.11967582431937446,0.28735632183908044,0.32,93.24,0.45454545454545453,0.1399206613393807
