Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
17,76,197,0.6142,1,3,0.6667,18,587,0.9693,10,49,0.7959,14,0,0.0,0,0,0.0,61,82,0.2561,0,0,0.0,22,27,0.1852,0,0,0.0,1,0,0.0,1,0,0.0,0,125,1.0,1.4031,1070,459,640,204,0
18,88,209,0.5789,1,3,0.6667,19,622,0.9695,11,52,0.7885,15,0,0.0,0,0,0.0,68,86,0.2093,0,0,0.0,22,29,0.2414,0,0,0.0,1,0,0.0,1,0,0.0,0,130,1.0,1.3414,1131,510,700,226,0
19,100,220,0.5455,1,3,0.6667,25,657,0.9619,14,55,0.7455,15,0,0.0,0,0,0.0,77,91,0.1538,0,0,0.0,26,31,0.1613,0,0,0.0,1,0,0.0,1,0,0.0,0,136,1.0,1.2724,1193,560,760,260,0
20,114,232,0.5086,1,3,0.6667,29,691,0.958,17,57,0.7018,19,0,0.0,0,0,0.0,81,96,0.1562,0,0,0.0,29,32,0.0938,0,0,0.0,1,0,0.0,1,0,0.0,0,141,1.0,1.222,1252,607,820,292,0
21,126,244,0.4836,1,3,0.6667,31,726,0.9573,19,60,0.6833,21,0,0.0,0,0,0.0,89,101,0.1188,0,0,0.0,34,34,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,146,1.0,1.1784,1314,676,880,323,0
22,136,255,0.4667,2,3,0.3333,31,760,0.9592,20,63,0.6825,29,0,0.0,0,0,0.0,94,106,0.1132,0,0,0.0,42,35,0.2,1,0,0.0,1,0,0.0,1,0,0.0,0,151,1.0,1.1638,1373,725,940,357,0
23,152,267,0.4307,2,3,0.3333,35,795,0.956,21,66,0.6818,35,0,0.0,0,0,0.0,96,110,0.1273,0,0,0.0,46,37,0.2432,1,0,0.0,1,0,0.0,1,0,0.0,0,156,1.0,1.138,1434,755,1000,390,0
24,168,278,0.3957,2,3,0.3333,40,830,0.9518,22,69,0.6812,38,0,0.0,0,0,0.0,99,115,0.1391,0,0,0.0,48,39,0.2308,1,0,0.0,1,0,0.0,2,0,0.0,0,162,1.0,1.0094,1496,874,1166,421,0
25,178,290,0.3862,3,3,0.0,44,864,0.9491,23,72,0.6806,43,0,0.0,0,0,0.0,116,120,0.0333,0,0,0.0,54,40,0.35,1,0,0.0,2,0,0.0,2,0,0.0,0,167,1.0,0.9107,1556,998,1333,466,0
26,195,302,0.3543,3,3,0.0,46,899,0.9488,27,75,0.64,47,0,0.0,0,0,0.0,128,125,0.024,0,0,0.0,56,42,0.3333,1,0,0.0,2,0,0.0,2,0,0.0,0,172,1.0,0.8327,1618,1137,1500,507,0
27,221,313,0.2939,3,3,0.0,53,933,0.9432,30,78,0.6154,54,0,0.0,0,0,0.0,144,130,0.1077,0,0,0.0,65,44,0.4773,1,0,0.0,2,0,0.0,2,0,0.0,0,177,1.0,0.7377,1678,1282,1750,575,0
28,252,325,0.2246,3,3,0.0,57,968,0.9411,31,81,0.6173,61,0,0.0,0,0,0.0,164,135,0.2148,0,0,0.0,73,45,0.6222,1,0,0.0,2,0,0.0,2,0,0.0,0,182,1.0,0.6695,1739,1425,2000,646,0
29,289,337,0.1424,4,3,0.3333,66,1002,0.9341,34,84,0.5952,66,0,0.0,0,0,0.0,188,139,0.3525,0,0,0.0,79,47,0.6809,1,0,0.0,2,0,0.0,2,0,0.0,0,188,1.0,0.55,1800,1752,2500,731,0
