Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
12,29,139,0.7914,0,2,1.0,11,415,0.9735,3,34,0.9118,4,0,0.0,0,0,0.0,21,57,0.6316,0,0,0.0,13,19,0.3158,0,0,0.0,0,0,0.0,0,0,0.0,0,94,1.0,2.2748,760,215,302,81,0
13,34,151,0.7748,0,2,1.0,12,449,0.9733,4,37,0.8919,4,0,0.0,0,0,0.0,26,62,0.5806,0,0,0.0,15,21,0.2857,0,0,0.0,0,0,0.0,0,0,0.0,0,102,1.0,2.2333,824,223,330,95,0
14,39,162,0.7593,0,3,1.0,13,484,0.9731,5,40,0.875,6,0,0.0,0,0,0.0,33,67,0.5075,0,0,0.0,16,22,0.2727,0,0,0.0,0,0,0.0,0,0,0.0,0,110,1.0,1.713,888,319,460,112,0
15,51,174,0.7069,0,3,1.0,13,518,0.9749,6,43,0.8605,8,0,0.0,0,0,0.0,39,72,0.4583,0,0,0.0,18,24,0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,115,1.0,1.5962,949,356,520,135,0
16,58,185,0.6865,0,3,1.0,14,553,0.9747,7,46,0.8478,9,0,0.0,0,0,0.0,46,77,0.4026,0,0,0.0,24,26,0.0769,0,0,0.0,0,0,0.0,0,0,0.0,0,120,1.0,1.5,1010,410,580,158,0
17,65,197,0.6701,0,3,1.0,16,587,0.9727,9,49,0.8163,10,0,0.0,0,0,0.0,52,82,0.3659,0,0,0.0,27,27,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,125,1.0,1.4234,1070,451,640,179,0
18,76,209,0.6364,1,3,0.6667,19,622,0.9695,10,52,0.8077,13,0,0.0,0,0,0.0,59,86,0.314,0,0,0.0,30,29,0.0345,0,0,0.0,0,0,0.0,0,0,0.0,0,130,1.0,1.3586,1131,498,700,208,0
19,84,220,0.6182,1,3,0.6667,25,657,0.9619,11,55,0.8,13,0,0.0,0,0,0.0,62,91,0.3187,0,0,0.0,33,31,0.0645,0,0,0.0,0,0,0.0,1,0,0.0,0,136,1.0,1.3092,1193,530,760,230,0
20,92,232,0.6034,2,3,0.3333,26,691,0.9624,12,57,0.7895,17,0,0.0,0,0,0.0,66,96,0.3125,0,0,0.0,37,32,0.1562,0,0,0.0,0,0,0.0,1,0,0.0,0,141,1.0,1.2744,1252,579,820,253,0
21,106,244,0.5656,2,3,0.3333,28,726,0.9614,13,60,0.7833,24,0,0.0,0,0,0.0,74,101,0.2673,0,0,0.0,40,34,0.1765,0,0,0.0,0,0,0.0,1,0,0.0,0,146,1.0,1.2364,1314,633,880,288,0
22,112,255,0.5608,2,3,0.3333,36,760,0.9526,14,63,0.7778,28,0,0.0,0,0,0.0,84,106,0.2075,0,0,0.0,41,35,0.1714,0,0,0.0,0,0,0.0,1,0,0.0,0,151,1.0,1.1968,1373,698,940,318,0
23,122,267,0.5431,3,3,0.0,38,795,0.9522,15,66,0.7727,31,0,0.0,0,0,0.0,89,110,0.1909,0,0,0.0,52,37,0.4054,0,0,0.0,0,0,0.0,1,0,0.0,0,156,1.0,1.177,1434,750,1000,351,0
24,137,278,0.5072,3,3,0.0,40,830,0.9518,15,69,0.7826,37,0,0.0,0,0,0.0,94,115,0.1826,0,0,0.0,55,39,0.4103,0,0,0.0,0,0,0.0,1,0,0.0,0,162,1.0,1.048,1496,861,1166,382,0
25,151,290,0.4793,3,3,0.0,44,864,0.9491,15,72,0.7917,44,0,0.0,0,0,0.0,103,120,0.1417,0,0,0.0,62,40,0.55,0,0,0.0,0,0,0.0,1,0,0.0,0,167,1.0,0.9505,1556,984,1333,423,0
26,170,302,0.4371,3,3,0.0,47,899,0.9477,17,75,0.7733,47,0,0.0,0,0,0.0,122,125,0.024,0,0,0.0,71,42,0.6905,0,0,0.0,0,0,0.0,1,0,0.0,0,172,1.0,0.8627,1618,1074,1500,478,0
27,199,313,0.3642,3,3,0.0,52,933,0.9443,22,78,0.7179,54,0,0.0,0,0,0.0,147,130,0.1308,0,0,0.0,79,44,0.7955,0,0,0.0,0,0,0.0,1,0,0.0,0,177,1.0,0.7629,1678,1240,1750,557,0
28,228,325,0.2985,5,3,0.6667,52,968,0.9463,26,81,0.679,64,0,0.0,0,0,0.0,171,135,0.2667,0,0,0.0,92,45,1.0444,0,0,0.0,0,0,0.0,1,0,0.0,0,182,1.0,0.7,1739,1408,2000,639,0
29,260,337,0.2285,6,3,1.0,56,1002,0.9441,30,84,0.6429,72,0,0.0,0,0,0.0,191,139,0.3741,0,0,0.0,100,47,1.1277,0,0,0.0,0,0,0.0,1,0,0.0,0,188,1.0,0.5784,1800,1726,2500,716,0
