sep=;
2014-01-31;903695
2014-02-03;906777
2014-02-04;909639
2014-02-05;913322
2014-02-06;915145
2014-02-07;916846
2014-02-10;920971
2014-02-11;922939
2014-02-12;925299
2014-02-13;927638
2014-02-14;929774
2014-02-17;929001
2014-02-18;931567
2014-02-19;933344
2014-02-20;934895
2014-02-21;936861
2014-02-24;938392
2014-02-26;942667
2014-02-27;944397
2014-02-28;945461
2014-03-03;950479
2014-03-04;953420
2014-03-05;956192
2014-03-06;957773
2014-03-07;960009
2014-03-10;962385
2014-03-11;964747
2014-03-12;967145
2014-03-13;968244
2014-03-15;969778
2014-03-17;972457
2014-03-18;974434
2014-03-19;977314
2014-03-20;979279
2014-03-22;980731
2014-03-24;983694
2014-03-25;985346
2014-03-26;987256
2014-03-27;990133
2014-03-28;992013
2014-03-31;993689
2014-04-01;996276
2014-04-02;998723
2014-04-03;1001543
2014-04-05;1003814
2014-04-07;1007399
2014-04-08;1009730
2014-04-09;1012080
2014-04-10;1014070
2014-04-12;1016935
2014-04-14;1019522
2014-04-15;1022157
2014-04-16;1024063
2014-04-17;1026626
2014-04-22;1029473
2014-04-26;1036236
2014-04-28;1040322
2014-04-30;1044898
2014-05-02;1047912
2014-05-05;1050877
2014-05-06;1053782
2014-05-07;1056089
2014-05-08;1058088
2014-05-10;1059908
2014-05-12;1059873
2014-05-13;1062485
2014-05-14;1065001
2014-05-15;1067151
2014-05-17;1069723
2014-05-19;1072715
2014-05-20;1074517
2014-05-21;1077704
2014-05-27;1087966
2014-05-29;1092272
2014-05-31;1087814
2014-06-02;1089621
2014-06-03;1090538
2014-06-05;1093069
2014-06-07;1093603
2014-06-09;1095557
2014-06-10;1097053
2014-06-11;1099110
2014-06-12;1100486
2014-06-13;1101782
2014-06-16;1103441
2014-06-17;1104567
2014-06-18;1106621
2014-06-19;1107550
2014-06-21;1108202
2014-06-23;1110281
2014-06-24;1111583
2014-06-26;1115012
2014-06-28;1117095
2014-06-30;1119585
2014-07-01;1120518
2014-07-05;1122787
2014-07-07;1122221
2014-07-09;1124395
2014-07-10;1125913
2014-07-12;1126131
2014-07-14;1128193
2014-07-15;1127513
2014-07-17;1129752
2014-07-19;1130928
2014-07-21;1132706
2014-07-22;1134327
2014-07-23;1135290
2014-07-24;1138043
2014-07-26;1136355
2014-07-29;1136757
2014-07-30;1137543
2014-07-31;1138874
2014-08-01;1139993
2014-08-04;1142172
2014-08-05;1143771
2014-08-06;1145650
2014-08-07;1146774
2014-08-08;1147584
2014-08-11;1149890
2014-08-12;1151591
2014-08-14;1154955
2014-08-15;1156980
2014-08-18;1159643
2014-08-19;1161479
2014-08-20;1164067
2014-08-21;1166149
2014-08-22;1167611
2014-08-25;1169846
2014-08-26;1172468
2014-08-27;1174141
2014-08-28;1175504
2014-08-29;1176971
2014-09-11;1185275
2014-09-15;1186896
2014-09-17;1188468
2014-09-18;1189608
2014-09-19;1190236
2014-09-22;1190879
2014-09-23;1191332
2014-09-24;1191780
2014-09-25;1191934
2014-09-26;1191992
2014-09-29;1185378
2014-09-30;1164004
2014-10-01;1163770
2014-10-02;1151057
2014-10-03;1150826
2014-10-07;1150252
2014-10-08;1149966
2014-10-09;1142425
2014-10-11;1141058
2014-10-13;1140919
2014-10-14;1140656
2014-10-15;1139093
2014-10-16;1137729
2014-10-17;1135867
2014-10-20;1133668
2014-10-21;1133623
2014-10-22;1133834
2014-10-30;1132601
2014-10-31;1132849
2014-11-03;1133238
2014-11-04;1133308
2014-11-05;1133822
2014-11-06;1134224
2014-11-07;1135285
2014-11-11;1137285
2014-11-12;1138363
2014-11-13;1140120
2014-11-14;1141330
2014-11-17;1142631
2014-11-18;1143732
2014-11-19;1143899
2014-11-21;1146042
2014-11-25;1146735
2014-11-26;1143900
2014-11-27;1144483
2014-11-28;1144762
2014-12-01;1145526
2014-12-02;1143493
2014-12-03;1144345
2014-12-04;1144706
2014-12-05;1145934
2014-12-08;1146685
2014-12-09;1147244
2014-12-10;1147788
2014-12-11;1148768
2014-12-12;1149267
2014-12-15;1150415
2014-12-16;1150731
2014-12-17;1151763
2014-12-18;1153447
2014-12-22;1155414
2014-12-23;1156159
2014-12-24;1156599
2014-12-26;1156851
2014-12-29;1158104
2014-12-30;1158582
2014-12-31;1158995
2015-01-02;1159396
2015-01-06;1159872
2015-01-07;1160080
2015-01-08;1160468
2015-01-15;1160749
2015-01-22;1166488
2015-01-29;1167242
2015-01-30;1167790
2015-02-02;1168229
2015-02-03;1169350
2015-02-04;1170350
2015-02-05;1168115
2015-02-06;1167148
2015-02-09;1167982
2015-02-10;1168853
2015-02-11;1169336
2015-02-12;1169639
2015-02-13;1170416
2015-02-16;1171374
2015-02-17;1172265
2015-02-18;1172726
2015-02-19;1173552
2015-02-20;1174313
2015-02-23;1175171
2015-02-24;1175913
2015-02-26;1177282
2015-02-27;1178038
2015-03-02;1178617
2015-03-03;1179236
2015-03-04;1179937
2015-03-05;1180755
2015-03-06;1181444
2015-03-09;1182213
2015-03-10;1183109
2015-03-12;1184323
2015-03-13;1185108
2015-03-16;1186125
2015-03-17;1186920
2015-03-18;1187407
2015-03-20;1188535
2015-03-23;1189214
2015-03-25;1190165
2015-03-26;1191451
2015-03-27;1191693
2015-03-30;1191942
2015-03-31;1192280
2015-04-01;1192896
2015-04-02;1193481
2015-04-03;1193987
2015-04-07;1195135
2015-04-08;1195743
2015-04-09;1196296
2015-04-10;1196560
2015-05-07;1183327
2015-06-10;1174690
2015-07-06;1172753
2015-08-25;1113941
2015-09-30;1078338
2015-10-31;1075637
2015-11-30;1070189
2015-12-31;1069111
2016-01-31;1067785
2016-02-29;1055984
2016-03-31;1048275
