sep=;
2014-05-17;270034
2014-05-19;270720
2014-05-20;271385
2014-05-21;271990
2014-05-27;274147
2014-05-29;275338
2014-05-31;274949
2014-06-02;275615
2014-06-03;276121
2014-06-05;277197
2014-06-07;277749
2014-06-09;278202
2014-06-10;278821
2014-06-11;279425
2014-06-12;279913
2014-06-13;280530
2014-06-16;281123
2014-06-17;281759
2014-06-18;282280
2014-06-19;282896
2014-06-21;283485
2014-06-23;284271
2014-06-24;284882
2014-06-26;286224
2014-06-28;286665
2014-06-30;287315
2014-07-01;287689
2014-07-05;289502
2014-07-07;290082
2014-07-09;291276
2014-07-10;291834
2014-07-12;292450
2014-07-14;293066
2014-07-15;292014
2014-07-17;293129
2014-07-19;293789
2014-07-21;294373
2014-07-22;294934
2014-07-23;295549
2014-07-24;296092
2014-07-26;296560
2014-07-29;297081
2014-07-30;297667
2014-07-31;298286
2014-08-01;299068
2014-08-04;299909
2014-08-05;300477
2014-08-06;301130
2014-08-07;301541
2014-08-08;302075
2014-08-11;302784
2014-08-12;303363
2014-08-14;304399
2014-08-15;306572
2014-08-18;307075
2014-08-19;307565
2014-08-20;308075
2014-08-21;308681
2014-08-22;309139
2014-08-25;309619
2014-08-26;310161
2014-08-27;310557
2014-08-28;310965
2014-08-29;311401
2014-09-11;311981
2014-09-15;312724
2014-09-17;313646
2014-09-18;313999
2014-09-19;314480
2014-09-22;314938
2014-09-23;315288
2014-09-24;315718
2014-09-25;316178
2014-09-26;316392
2014-09-29;316487
2014-09-30;311520
2014-10-01;311857
2014-10-02;308813
2014-10-03;309145
2014-10-07;309317
2014-10-08;309559
2014-10-09;309603
2014-10-11;309945
2014-10-13;310224
2014-10-14;310442
2014-10-15;309442
2014-10-16;309375
2014-10-17;309636
2014-10-20;309519
2014-10-21;309598
2014-10-22;309680
2014-10-30;308759
2014-10-31;309023
2014-11-03;309159
2014-11-04;309494
2014-11-05;309904
2014-11-06;310341
2014-11-07;310749
2014-11-11;311610
2014-11-12;312125
2014-11-13;312714
2014-11-14;313109
2014-11-17;313584
2014-11-18;313969
2014-11-19;314015
2014-11-21;314811
2014-11-25;315263
2014-11-26;315661
2014-11-27;315922
2014-11-28;315924
2014-12-01;316392
2014-12-02;316390
2014-12-03;316464
2014-12-04;316609
2014-12-05;316819
2014-12-08;316913
2014-12-09;317031
2014-12-10;317376
2014-12-11;317482
2014-12-12;317203
2014-12-15;317635
2014-12-16;317830
2014-12-17;318092
2014-12-18;318747
2014-12-22;319482
2014-12-23;319823
2014-12-24;319795
2014-12-26;319708
2014-12-29;319744
2014-12-30;319801
2014-12-31;320024
2015-01-02;319876
2015-01-06;320203
2015-01-07;320537
2015-01-08;320831
2015-01-15;322382
2015-01-22;323842
2015-01-29;325710
2015-01-30;326009
2015-02-02;326389
2015-02-03;326803
2015-02-04;327171
2015-02-05;327467
2015-02-06;327848
2015-02-09;328208
2015-02-10;328619
2015-02-11;328893
2015-02-12;329019
2015-02-13;329466
2015-02-16;329837
2015-02-17;330241
2015-02-18;330531
2015-02-19;330826
2015-02-20;331082
2015-02-23;331358
2015-02-24;331625
2015-02-26;332372
2015-02-27;333408
2015-03-02;333538
2015-03-03;333726
2015-03-04;333933
2015-03-05;334071
2015-03-06;334375
2015-03-09;334647
2015-03-10;334892
2015-03-12;335451
2015-03-13;335749
2015-03-16;336009
2015-03-17;336373
2015-03-18;336637
2015-03-20;337132
2015-03-23;337481
2015-03-25;338030
2015-03-26;338338
2015-03-27;338333
2015-03-30;338584
2015-03-31;338834
2015-04-01;339147
2015-04-02;339694
2015-04-03;339919
2015-04-07;340277
2015-04-08;340640
2015-04-09;340809
2015-04-10;340997
2015-05-07;344533
2015-06-10;344442
2015-07-06;343904
2015-08-25;328504
2015-09-30;317016
2015-10-31;314731
2015-11-30;312258
2015-12-31;311098
2016-01-31;311956
2016-02-29;307850
2016-03-31;305687
