Day,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Meri sim,Meri data,Meri error,Kakuma sim,Kakuma data,Kakuma error,Alwaral sim,Alwaral data,Alwaral error,East_Darfur sim,East_Darfur data,East_Darfur error,Khartoum sim,Khartoum data,Khartoum error,South_Darfur sim,South_Darfur data,South_Darfur error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
38,240,106,1.2641509433962264,15,8,0.875,243,18,12.5,255,846,0.698581560283688,0,39,1.0,7,50,0.86,0,226,1.0,57,53,0.07547169811320753,2,218,0.9908256880733946,1,65,0.9846153846153847,1316,970,0.3567010309278351,111,284,0.6091549295774648,82,313,0.7380191693290734,0.7193366708385481,3196,3043,3196,2329,0
39,249,107,1.3271028037383177,15,8,0.875,250,18,12.88888888888889,260,846,0.6926713947990544,0,40,1.0,8,51,0.8431372549019608,0,232,1.0,57,53,0.07547169811320753,2,218,0.9908256880733946,1,67,0.9850746268656716,1332,996,0.3373493975903614,116,285,0.5929824561403509,82,321,0.7445482866043613,0.7131400370141888,3242,3092,3242,2372,0
40,251,108,1.324074074074074,15,8,0.875,255,19,12.421052631578947,268,847,0.6835891381345927,0,41,1.0,8,52,0.8461538461538461,0,238,1.0,58,53,0.09433962264150941,2,218,0.9908256880733946,1,68,0.9852941176470589,1362,1021,0.33398628795298735,118,285,0.5859649122807018,82,329,0.7507598784194529,0.709157286279282,3287,3128,3287,2420,0
41,256,108,1.3703703703703702,15,8,0.875,256,19,12.473684210526315,274,847,0.6765053128689492,0,42,1.0,9,54,0.8333333333333334,0,243,1.0,58,53,0.09433962264150941,3,218,0.9862385321100917,1,70,0.9857142857142858,1380,1047,0.3180515759312321,120,286,0.5804195804195804,84,338,0.7514792899408285,0.7011701170117012,3333,3167,3333,2456,0
42,261,109,1.3944954128440368,15,8,0.875,259,20,11.95,283,847,0.665879574970484,0,43,1.0,9,55,0.8363636363636364,0,249,1.0,59,53,0.1132075471698113,3,218,0.9862385321100917,1,72,0.9861111111111112,1399,1072,0.3050373134328359,124,286,0.5664335664335665,84,346,0.7572254335260116,0.6936056838365897,3378,3200,3378,2497,0
43,268,110,1.4363636363636365,16,8,1.0,261,20,12.05,298,848,0.6485849056603774,0,44,1.0,9,56,0.8392857142857143,0,255,1.0,59,53,0.1132075471698113,4,218,0.981651376146789,2,73,0.9726027397260274,1427,1098,0.29963570127504546,127,287,0.5574912891986064,87,354,0.7542372881355932,0.6863317757009346,3424,3246,3424,2558,0
44,272,111,1.4504504504504503,16,8,1.0,264,21,11.571428571428571,305,848,0.6403301886792453,0,45,1.0,11,58,0.8103448275862069,0,261,1.0,59,54,0.09259259259259256,4,219,0.9817351598173516,2,75,0.9733333333333334,1442,1124,0.2829181494661921,129,287,0.5505226480836236,90,362,0.7513812154696132,0.6763604952490642,3473,3281,3473,2594,0
45,274,111,1.4684684684684686,17,8,1.125,269,21,11.80952380952381,312,848,0.6320754716981132,0,45,1.0,11,59,0.8135593220338984,0,267,1.0,61,54,0.12962962962962954,4,219,0.9817351598173516,2,77,0.974025974025974,1460,1149,0.2706701479547433,133,288,0.5381944444444444,93,371,0.7493261455525606,0.6701734432755189,3517,3325,3517,2636,0
46,277,112,1.4732142857142856,17,8,1.125,274,21,12.047619047619047,319,848,0.6238207547169812,0,45,1.0,11,60,0.8166666666666667,0,273,1.0,61,54,0.12962962962962954,4,219,0.9817351598173516,2,79,0.9746835443037974,1478,1175,0.25787234042553187,135,289,0.532871972318339,93,379,0.7546174142480211,0.6639528354856822,3562,3356,3562,2671,0
47,282,113,1.495575221238938,19,8,1.375,274,22,11.454545454545455,325,849,0.6171967020023557,0,45,1.0,12,62,0.8064516129032258,0,279,1.0,61,54,0.12962962962962954,6,219,0.9726027397260274,2,80,0.975,1494,1200,0.2450000000000001,135,289,0.532871972318339,95,387,0.7545219638242894,0.6565012475741614,3607,3412,3607,2705,0
48,285,114,1.5,19,8,1.375,277,22,11.590909090909092,333,849,0.607773851590106,0,45,1.0,13,63,0.7936507936507937,0,285,1.0,61,54,0.12962962962962954,6,219,0.9726027397260274,2,82,0.975609756097561,1514,1226,0.234910277324633,138,290,0.5241379310344827,96,395,0.7569620253164557,0.6495071193866374,3652,3442,3652,2744,0
49,288,115,1.5043478260869567,19,8,1.375,280,23,11.173913043478262,345,849,0.5936395759717314,0,45,1.0,14,64,0.78125,0,291,1.0,61,54,0.12962962962962954,6,219,0.9726027397260274,2,84,0.9761904761904762,1530,1251,0.2230215827338129,139,290,0.5206896551724138,96,404,0.7623762376237624,0.6413308087638626,3697,3487,3697,2780,0
50,292,115,1.5391304347826087,19,8,1.375,284,23,11.347826086956522,355,850,0.5823529411764705,0,45,1.0,16,66,0.7575757575757576,0,297,1.0,61,54,0.12962962962962954,6,220,0.9727272727272728,2,86,0.9767441860465116,1546,1277,0.21064996084573218,140,291,0.5189003436426116,97,412,0.7645631067961165,0.6346153846153846,3744,3535,3744,2818,0
51,294,116,1.5344827586206895,21,8,1.625,290,24,11.083333333333334,361,850,0.5752941176470588,0,46,1.0,17,67,0.7462686567164178,0,303,1.0,62,54,0.14814814814814814,6,220,0.9727272727272728,2,87,0.9770114942528736,1557,1302,0.19585253456221197,144,291,0.5051546391752577,98,420,0.7666666666666666,0.6272439281942978,3788,3572,3788,2852,0
52,298,117,1.5470085470085468,21,8,1.625,293,24,11.208333333333334,366,850,0.5694117647058823,0,47,1.0,17,68,0.75,0,309,1.0,63,54,0.16666666666666674,6,220,0.9727272727272728,2,89,0.9775280898876404,1570,1328,0.18222891566265065,147,292,0.4965753424657534,101,428,0.764018691588785,0.6202399582681273,3834,3612,3834,2884,0
53,302,118,1.559322033898305,21,8,1.625,297,25,10.88,377,850,0.556470588235294,0,47,1.0,18,70,0.7428571428571429,0,315,1.0,63,54,0.16666666666666674,7,220,0.9681818181818181,2,91,0.978021978021978,1592,1353,0.17664449371766455,149,292,0.48972602739726023,103,437,0.7643020594965675,0.6141752577319588,3880,3657,3880,2931,0
54,309,118,1.6186440677966103,21,8,1.625,303,25,11.12,387,851,0.5452408930669801,0,48,1.0,18,71,0.7464788732394366,0,321,1.0,63,54,0.16666666666666674,7,220,0.9681818181818181,2,92,0.9782608695652174,1611,1379,0.16823785351704124,150,293,0.48805460750853247,103,445,0.7685393258426967,0.6107006369426752,3925,3693,3925,2974,0
55,315,119,1.6470588235294117,21,8,1.625,308,26,10.846153846153847,394,851,0.537015276145711,0,49,1.0,18,72,0.75,0,327,1.0,63,54,0.16666666666666674,8,220,0.9636363636363636,2,94,0.9787234042553191,1624,1405,0.15587188612099645,153,294,0.47959183673469385,104,453,0.7704194260485651,0.6042296072507553,3972,3741,3972,3010,0
56,319,120,1.6583333333333332,21,8,1.625,311,26,10.961538461538462,401,851,0.5287896592244419,0,50,1.0,19,73,0.7397260273972603,0,333,1.0,63,54,0.16666666666666674,8,220,0.9636363636363636,2,96,0.9791666666666666,1635,1414,0.1562942008486563,156,297,0.4747474747474747,104,455,0.7714285714285715,0.6034525894420816,3997,3763,3997,3039,0
57,321,121,1.652892561983471,21,8,1.625,318,27,10.777777777777779,405,852,0.5246478873239437,0,50,1.0,20,75,0.7333333333333334,0,339,1.0,63,54,0.16666666666666674,8,221,0.9638009049773756,2,98,0.9795918367346939,1646,1423,0.1567111735769502,157,300,0.4766666666666667,105,458,0.7707423580786026,0.604073522106309,4026,3791,4026,3066,0
58,326,122,1.6721311475409837,21,8,1.625,319,27,10.814814814814815,414,852,0.5140845070422535,0,51,1.0,20,76,0.736842105263158,0,345,1.0,63,54,0.16666666666666674,9,221,0.9592760180995475,2,99,0.9797979797979798,1661,1433,0.15910676901605014,160,303,0.471947194719472,105,460,0.7717391304347826,0.6030609725993582,4051,3826,4051,3100,0
59,331,122,1.7131147540983607,21,8,1.625,325,28,10.607142857142858,428,852,0.4976525821596244,0,52,1.0,20,77,0.7402597402597403,0,351,1.0,63,54,0.16666666666666674,9,221,0.9592760180995475,2,101,0.9801980198019802,1685,1442,0.16851595006934805,161,306,0.4738562091503268,105,462,0.7727272727272727,0.60549558390579,4076,3848,4076,3150,0
60,337,123,1.7398373983739837,21,8,1.625,327,28,10.678571428571429,431,853,0.49472450175849947,0,52,1.0,22,79,0.7215189873417722,0,357,1.0,63,54,0.16666666666666674,9,221,0.9592760180995475,2,103,0.9805825242718447,1701,1452,0.17148760330578505,163,309,0.4724919093851133,105,465,0.7741935483870968,0.6069688109161794,4104,3870,4104,3181,0
61,342,123,1.7804878048780486,21,10,1.1,329,29,10.344827586206897,437,853,0.4876905041031653,0,53,1.0,22,80,0.725,0,357,1.0,63,54,0.16666666666666674,9,221,0.9592760180995475,2,104,0.9807692307692307,1713,1461,0.17248459958932227,166,313,0.4696485623003195,105,467,0.7751605995717344,0.6055757575757575,4125,3885,4125,3209,0
62,349,123,1.8373983739837398,22,13,0.6923076923076923,332,29,10.448275862068966,447,853,0.4759671746776084,0,54,1.0,22,81,0.7283950617283951,0,357,1.0,63,54,0.16666666666666674,9,222,0.9594594594594594,2,106,0.9811320754716981,1727,1471,0.1740312712440517,165,316,0.4778481012658228,106,470,0.774468085106383,0.6052060737527115,4149,3903,4149,3244,0
63,352,123,1.8617886178861789,22,16,0.375,334,30,10.133333333333333,456,853,0.46541617819460723,0,54,1.0,22,83,0.7349397590361446,0,357,1.0,63,54,0.16666666666666674,9,222,0.9594594594594594,2,108,0.9814814814814815,1739,1480,0.17500000000000004,167,319,0.4764890282131662,106,472,0.7754237288135593,0.6024934068568688,4171,3917,4171,3272,0
64,355,123,1.886178861788618,22,19,0.1578947368421053,339,30,10.3,460,853,0.46072684642438455,0,55,1.0,22,84,0.7380952380952381,0,357,1.0,63,54,0.16666666666666674,9,222,0.9594594594594594,2,110,0.9818181818181818,1751,1490,0.1751677852348994,169,322,0.47515527950310554,107,474,0.7742616033755274,0.6014786549010255,4193,3944,4193,3299,0
65,358,123,1.910569105691057,22,22,0.0,339,31,9.935483870967742,465,854,0.455503512880562,0,55,1.0,22,85,0.7411764705882353,0,357,1.0,63,54,0.16666666666666674,9,223,0.9596412556053812,2,111,0.9819819819819819,1766,1499,0.17811874583055376,172,325,0.4707692307692307,108,477,0.7735849056603774,0.5996204933586338,4216,3958,4216,3326,0
66,359,123,1.9186991869918697,23,25,0.07999999999999996,340,31,9.96774193548387,472,854,0.4473067915690867,0,56,1.0,22,87,0.7471264367816092,1,357,0.9971988795518207,63,54,0.16666666666666674,9,223,0.9596412556053812,2,113,0.9823008849557522,1780,1509,0.17958913187541414,172,329,0.4772036474164134,108,479,0.7745302713987474,0.5988207547169812,4240,3963,4240,3351,0
67,360,123,1.9268292682926829,23,28,0.1785714285714286,341,32,9.65625,479,854,0.4391100702576113,0,56,1.0,23,88,0.7386363636363636,1,357,0.9971988795518207,63,54,0.16666666666666674,10,223,0.9551569506726457,2,115,0.9826086956521739,1793,1518,0.181159420289855,173,332,0.47891566265060237,109,481,0.7733887733887734,0.5970429476648674,4261,3995,4261,3377,0
68,363,123,1.951219512195122,23,31,0.25806451612903225,343,32,9.71875,483,854,0.43442622950819676,0,57,1.0,24,89,0.7303370786516854,1,357,0.9971988795518207,64,54,0.18518518518518512,10,224,0.9553571428571429,2,116,0.9827586206896551,1801,1527,0.17943680419122465,176,335,0.4746268656716418,109,484,0.7747933884297521,0.5963109969647443,4283,4009,4283,3399,0
69,368,123,1.9918699186991868,23,34,0.32352941176470584,347,32,9.84375,490,855,0.42690058479532167,0,57,1.0,24,91,0.7362637362637363,1,357,0.9971988795518207,64,54,0.18518518518518512,10,224,0.9553571428571429,2,118,0.9830508474576272,1812,1537,0.17891997397527648,177,338,0.47633136094674555,109,486,0.7757201646090535,0.5966093822573154,4306,4029,4306,3427,0
70,369,123,2.0,23,36,0.36111111111111116,347,33,9.515151515151516,498,855,0.4175438596491228,0,58,1.0,24,92,0.7391304347826086,1,357,0.9971988795518207,64,54,0.18518518518518512,11,224,0.9508928571428571,3,120,0.975,1815,1546,0.1739974126778785,179,341,0.4750733137829912,110,488,0.7745901639344263,0.5918650335105153,4327,4040,4327,3444,0
71,372,123,2.024390243902439,23,39,0.41025641025641024,348,33,9.545454545454545,506,855,0.408187134502924,0,59,1.0,25,93,0.7311827956989247,1,357,0.9971988795518207,63,54,0.16666666666666674,11,224,0.9508928571428571,3,122,0.9754098360655737,1825,1556,0.17287917737789193,179,345,0.48115942028985503,111,491,0.7739307535641547,0.5902091473224547,4351,4059,4351,3467,0
72,377,123,2.065040650406504,23,42,0.45238095238095233,350,34,9.294117647058824,516,855,0.39649122807017545,0,59,1.0,26,95,0.7263157894736842,1,357,0.9971988795518207,63,54,0.16666666666666674,11,225,0.9511111111111111,3,123,0.975609756097561,1835,1565,0.17252396166134187,180,348,0.48275862068965514,111,493,0.7748478701825557,0.5888406128515893,4373,4071,4373,3496,0
73,382,123,2.105691056910569,23,45,0.48888888888888893,355,34,9.441176470588236,524,856,0.3878504672897196,0,60,1.0,26,96,0.7291666666666667,1,357,0.9971988795518207,64,54,0.18518518518518512,11,225,0.9511111111111111,3,125,0.976,1843,1575,0.17015873015873018,180,351,0.4871794871794872,111,496,0.7762096774193549,0.5890379804412099,4397,4091,4397,3523,0
74,385,123,2.130081300813008,23,48,0.5208333333333333,357,35,9.2,529,856,0.3820093457943925,0,60,1.0,26,97,0.731958762886598,1,357,0.9971988795518207,64,54,0.18518518518518512,11,225,0.9511111111111111,3,127,0.9763779527559056,1854,1584,0.17045454545454541,182,354,0.48587570621468923,112,498,0.7751004016064257,0.5882752376641014,4418,4085,4418,3547,0
75,387,123,2.1463414634146343,23,51,0.5490196078431373,359,35,9.257142857142858,535,856,0.375,0,61,1.0,28,99,0.7171717171717171,1,357,0.9971988795518207,64,54,0.18518518518518512,11,226,0.9513274336283186,3,129,0.9767441860465116,1865,1594,0.17001254705144286,183,357,0.4873949579831933,114,500,0.772,0.5868977937865826,4442,4101,4442,3573,0
