osm_id,building,type,Latitude,Longitude
,yes,9,51.53674437,-0.295454544
,yes,9,51.53628185,-0.295074286
,yes,9,51.5360334,-0.29548272
,yes,9,51.53600288,-0.296148325
,yes,9,51.53585519,-0.296923998
,yes,9,51.53630475,-0.29746385
,yes,9,51.53644641,-0.295963118
,yes,9,51.53626678,-0.296807791
,yes,9,51.53763865,-0.2844487
,yes,9,51.5432213,-0.28172115
,,0,51.5379663,-0.288278282
,,0,51.53771272,-0.289178891
,,0,51.53749375,-0.290140368
,,0,51.53728395,-0.291115139
,,0,51.5370877,-0.292056115
,,0,51.5368897,-0.292993645
,,0,51.53619925,-0.289461513
,yes,9,51.5379701,-0.2831661
,,0,51.55315043,-0.291235431
,,0,51.55371438,-0.297476736
,,0,51.54217143,-0.292873832
,,0,51.54084826,-0.293705779
,,0,51.54336457,-0.298035216
,,0,51.55477037,-0.28477677
,,0,51.56303003,-0.260883044
,,0,51.56226246,-0.262648766
,,0,51.56280512,-0.28005687
,,0,51.55764242,-0.277152003
,,0,51.55805831,-0.280457396
,yes,9,51.55656499,-0.279580626
,,0,51.54314696,-0.244675326
,,0,51.5479297,-0.313090928
,yes,9,51.54777681,-0.312832301
,,0,51.5487859,-0.309330841
,,0,51.55151946,-0.3106785
,,0,51.54451328,-0.303743776
,,0,51.54190235,-0.306693059
,,0,51.54974998,-0.305624934
,,0,51.55072918,-0.30612965
,yes,9,51.55055195,-0.306004828
,,0,51.54971485,-0.3061178
,,0,51.55029956,-0.304076668
,,0,51.54488617,-0.297083894
,bus_garage,0,51.54045219,-0.300325267
,,0,51.56007681,-0.303266925
,,0,51.56000321,-0.3031528
,,0,51.55490037,-0.305183788
,,0,51.55490778,-0.305762698
,,0,51.56040184,-0.308695923
,,0,51.55965146,-0.312802025
,,0,51.55783871,-0.314324739
,,0,51.55760955,-0.31583995
,,0,51.5603169,-0.31755275
,,0,51.560405,-0.3138901
,,0,51.5623323,-0.3120274
,school,5,51.56309603,-0.310619409
,construction,4,51.55164559,-0.297765476
,apartments,8,51.55185555,-0.296646617
,apartments,8,51.59986433,-0.195864497
,,0,51.55731727,-0.289772273
,,0,51.55755947,-0.28916684
,,0,51.54980965,-0.288181187
,office,4,51.59927805,-0.193633376
,,0,51.56705649,-0.189799735
,,0,51.56669046,-0.191046234
,,0,51.56696262,-0.191198625
,,0,51.56736138,-0.192209328
,,0,51.56645304,-0.190837229
,library,6,51.57291425,-0.33656575
,chapel,6,51.57318885,-0.336551476
,hall,0,51.573857,-0.336607924
,yes,9,51.57352002,-0.336906881
,school_hostel,5,51.57470059,-0.336414039
,yes,9,51.57462804,-0.335866357
,,0,51.57506905,-0.336671071
,train_station,0,51.57925062,-0.33665465
,yes,9,51.55344286,-0.29493542
,yes,9,51.5313069,-0.2957283
,yes,9,51.52962145,-0.2943101
,,0,51.57227528,-0.224635076
,,0,51.56926416,-0.33643941
,,0,51.56945625,-0.331916495
,,0,51.56934628,-0.32460892
,,0,51.56842518,-0.327985061
,,0,51.57670844,-0.331274119
,,0,51.57498026,-0.331388356
,,0,51.57394854,-0.327216836
,,0,51.57570806,-0.328188133
,,0,51.57258155,-0.335377
,,0,51.57255672,-0.334782096
,yes,9,51.57302107,-0.333346053
,,0,51.56616279,-0.333701381
,,0,51.56397672,-0.184902229
,,0,51.58652006,-0.270497138
,shop,7,51.58184104,-0.243923753
,yes,9,51.58249619,-0.333189418
,,0,51.59153538,-0.187833844
,,0,51.590124,-0.188274196
,,0,51.60028797,-0.261450457
,,0,51.60192602,-0.24796714
,,0,51.57453571,-0.328255885
,residential,8,51.59597285,-0.19031165
,apartments,8,51.55030765,-0.208075917
,apartments,8,51.55052816,-0.207109203
,apartments,8,51.55090945,-0.2075717
,apartments,8,51.5500649,-0.20648655
,apartments,8,51.54829635,-0.205954749
,apartments,8,51.54782785,-0.20597475
,apartments,8,51.54875021,-0.206361824
,,0,51.548257,-0.20611559
,apartments,8,51.54857975,-0.2068944
,apartments,8,51.54904401,-0.206636917
,apartments,8,51.54932478,-0.207533445
,apartments,8,51.54817919,-0.204462032
,,0,51.54841598,-0.204119458
,,0,51.54828323,-0.204076773
,apartments,8,51.54851664,-0.203838201
,apartments,8,51.54869451,-0.20338954
,apartments,8,51.547541,-0.204958524
,apartments,8,51.54814499,-0.203191639
,,0,51.54288412,-0.197603691
,apartments,8,51.5508519,-0.201827585
,,0,51.55068322,-0.199414272
,apartments,8,51.55076595,-0.20884605
,apartments,8,51.55106235,-0.209142882
,apartments,8,51.55193914,-0.210164264
,apartments,8,51.55201537,-0.210554931
,yes,9,51.55846198,-0.216480307
,,0,51.55517278,-0.213519256
,,0,51.54845837,-0.203905335
,apartments,8,51.55026505,-0.206649812
,,0,51.55122679,-0.207920005
,apartments,8,51.5473979,-0.2037636
,apartments,8,51.55091697,-0.205741528
,apartments,8,51.55072572,-0.206212671
,apartments,8,51.55080624,-0.206302069
,,0,51.54514253,-0.198820698
,,0,51.5340876,-0.193616904
,library,6,51.53637253,-0.191150253
,yes,9,51.53542468,-0.189029862
,yes,9,51.53700435,-0.18988425
,yes,9,51.53719757,-0.189285848
,,0,51.53696588,-0.188739966
,yes,9,51.54741655,-0.222948709
,yes,9,51.54694795,-0.218728168
,yes,9,51.54642427,-0.2193525
,yes,9,51.54701519,-0.214491333
,yes,9,51.54608375,-0.215096586
,yes,9,51.54572916,-0.216193274
,yes,9,51.54647186,-0.216019866
,yes,9,51.54604167,-0.216827864
,yes,9,51.54612715,-0.217267823
,yes,9,51.54617765,-0.217789311
,apartments,8,51.5447368,-0.19989845
,apartments,8,51.54454995,-0.19981265
,apartments,8,51.54498221,-0.200002536
,apartments,8,51.54511484,-0.199150949
,apartments,8,51.54540992,-0.198574933
,apartments,8,51.54525986,-0.199999425
,apartments,8,51.54551611,-0.199121451
,apartments,8,51.5456741,-0.198257126
,apartments,8,51.54491036,-0.200679921
,apartments,8,51.5453074,-0.197839185
,apartments,8,51.5447135,-0.198889112
,,0,51.54343744,-0.196726311
,,0,51.58184112,-0.20599499
,,0,51.58124304,-0.205795923
,,0,51.57881868,-0.198203301
,,0,51.57835504,-0.199978585
,yes,9,51.54532196,-0.215190584
,yes,9,51.54540978,-0.213345965
,yes,9,51.54424939,-0.212271996
,yes,9,51.54378426,-0.211996969
,yes,9,51.54431079,-0.210086515
,apartments,8,51.54561026,-0.210154795
,,0,51.5469335,-0.21003905
,yes,9,51.54392335,-0.209273661
,yes,9,51.54460688,-0.21332037
,yes,9,51.54644768,-0.205632346
,office,4,51.53288908,-0.207918507
,,0,51.55779609,-0.215807686
,yes,9,51.55740186,-0.215236336
,yes,9,51.54440005,-0.191889692
,yes,9,51.54583261,-0.19177615
,,0,51.55367233,-0.256706599
,,0,51.58903775,-0.24695405
,yes,9,51.60011281,-0.266177721
,terrace,8,51.5958354,-0.328187178
,terrace,8,51.5958874,-0.327109678
,terrace,8,51.5959014,-0.32670165
,terrace,8,51.59563132,-0.326894641
,terrace,8,51.5958627,-0.327586622
,terrace,8,51.59557393,-0.328170872
,terrace,8,51.5956001,-0.327577478
,,0,51.59209763,-0.275851288
,,0,51.5941826,-0.272117456
,,0,51.59615938,-0.27120463
,,0,51.59454504,-0.283494693
,,0,51.59375333,-0.279469151
,,0,51.59972527,-0.264667143
,retail,7,51.59194856,-0.284580345
,yes,9,51.55645452,-0.260918653
,yes,9,51.55643491,-0.26285539
,yes,9,51.55740811,-0.263351901
,yes,9,51.5570654,-0.264923298
,,0,51.55701524,-0.263889803
,yes,9,51.55478583,-0.263735057
,yes,9,51.55513462,-0.265195981
,,0,51.55481112,-0.263526782
,warehouse,3,51.56977392,-0.234305739
,yes,9,51.57031347,-0.232304801
,yes,9,51.56898268,-0.233934714
,yes,9,51.56923968,-0.232015445
,yes,9,51.56934865,-0.231092722
,yes,9,51.56880473,-0.230388575
,yes,9,51.56819093,-0.23085168
,yes,9,51.56854259,-0.2313507
,yes,9,51.56874571,-0.231595308
,yes,9,51.56804169,-0.231667138
,yes,9,51.56805508,-0.233092603
,yes,9,51.57153085,-0.23470185
,yes,9,51.57152463,-0.233696715
,yes,9,51.57107144,-0.233112764
