building,type,Latitude,Longitude
yes,9,51.53808228742573,-0.2383653466777609
,0,51.562258121716,-0.2539799367519516
apartments,8,51.542020117678724,-0.20729030452932304
,0,51.52752010284656,-0.19502454516650555
apartments,8,51.52759295674609,-0.21330841821165972
,0,51.54062886893097,-0.22954151186111396
yes,9,51.53492354777781,-0.2853046437364001
yes,9,51.543328149690964,-0.29279359134819277
residential,8,51.52790820850726,-0.1923562023843743
yes,9,51.559859119717515,-0.21672988742215987
residential,8,51.52815166078695,-0.19349705394636987
yes,9,51.55964545007513,-0.21651758370688204
residential,8,51.52788976342418,-0.19313222219591544
apartments,8,51.53431405968844,-0.19152388532629155
yes,9,51.55960210740743,-0.21647515626878572
residential,8,51.52853350321331,-0.1924711166946144
,0,51.55866273388685,-0.23546117692416035
residential,8,51.528977672738385,-0.1930401482397767
yes,9,51.59003138348161,-0.2725422986696138
,0,51.532988813357946,-0.19888716077546614
yes,9,51.550117893318635,-0.30468459716179985
residential,8,51.52879396902128,-0.19281404021012974
stadium,6,51.556026966287256,-0.2795771182743266
,0,51.529090273703666,-0.2384065804755895
residential,8,51.528251684828106,-0.19362330460733163
,0,51.54899672478731,-0.3259825290396366
yes,9,51.55736957846421,-0.2827810137209585
yes,9,51.559903383327686,-0.21677376975971416
residential,8,51.52763184849639,-0.19277892517536305
,0,51.571658109138056,-0.25410875064693034
yes,9,51.540848128516714,-0.21596438343430502
,0,51.53078452633386,-0.18913133788784867
yes,9,51.543536921742415,-0.25064182955118636
residential,8,51.528244989713514,-0.19284880776092775
yes,9,51.565728790033994,-0.28941506903785574
,0,51.53003276401836,-0.18869476953619474
,0,51.52915951433835,-0.19124302411010694
residential,8,51.528501210237806,-0.1932235866677216
,0,51.53844148656986,-0.28198058530407144
yes,9,51.52885565250103,-0.21379011868466988
residential,8,51.527716256564375,-0.19289588901222535
yes,9,51.56007678410725,-0.21694660757158882
residential,8,51.52801111111018,-0.1917750911166191
residential,8,51.52780310425566,-0.19301268191253626
,0,51.54698944741968,-0.20541115461069256
school,5,51.52384738412547,-0.2152463352376898
yes,9,51.599443876947824,-0.28039719852786954
residential,8,51.52792317563773,-0.19165946783251592
yes,9,51.5421900285481,-0.22553058279067328
yes,9,51.589634393118494,-0.2747179042098304
,0,51.538144973408485,-0.1972915659434615
train_station,0,51.532377432645305,-0.24458748904426994
residential,8,51.52827319399862,-0.19212563357669035
yes,9,51.542101265895944,-0.19338922108071457
,0,51.52906629979748,-0.2603448787852706
yes,9,51.55947195000001,-0.21634554999999903
yes,9,51.53251242243548,-0.19214267666486765
yes,9,51.56003414998895,-0.21690273334184784
residential,8,51.528445745550634,-0.19235459477660335
yes,9,51.54115194945431,-0.19269359683469955
residential,8,51.52862124715421,-0.19258790599111272
yes,9,51.531417771568265,-0.21616578532910255
yes,9,51.565114081578294,-0.33228677766016207
,0,51.54934780677072,-0.22218317210712185
apartments,8,51.528786953733174,-0.19032375432598486
,0,51.563308410000865,-0.2976282879233995
apartments,8,51.51968875516626,-0.16390813010029084
school,5,51.53183388407474,-0.20829865850197962
,0,51.5495941228951,-0.248267010165576
apartments,8,51.52906554631874,-0.21761288079855146
yes,9,51.55955845117473,-0.21643170456242602
,0,51.5449696923994,-0.2712438350124838
residential,8,51.52870548645897,-0.19269997155104163
,0,51.56119634482607,-0.28183785513290427
residential,8,51.52841618582812,-0.19309550538322498
,0,51.560554722719495,-0.2541094542843132
,0,51.54782671988787,-0.2603583083235437
,0,51.531974739770085,-0.24423158975929016
yes,9,51.557318808550036,-0.2838439803992172
residential,8,51.528098851560394,-0.19189169639250006
residential,8,51.52806556444046,-0.1933764206217622
,0,51.52940570784533,-0.2447384352870718
yes,9,51.58294773531297,-0.2576579546496908
yes,9,51.55968756666667,-0.21655985647058693
residential,8,51.527821786767625,-0.19222939107334092
yes,9,51.53480955861523,-0.3107524682187427
residential,8,51.52835999483196,-0.19224237478414843
yes,9,51.54134190032341,-0.21671405764051174
,0,51.5766573767597,-0.2640382970915296
yes,9,51.57130010141622,-0.29973242794004323
,0,51.528461764257145,-0.19237373808715225
,0,51.582685563063805,-0.2636510622041932
,0,51.58197955337719,-0.31048144207429645
train_station,0,51.56343280728183,-0.2797593051816227
apartments,8,51.50603045566531,-0.08199012335389938
residential,8,51.52797864595318,-0.19325437445125615
residential,8,51.53187388728076,-0.2064325257016633
yes,9,51.599183950000004,-0.25946225
yes,9,51.592688800000005,-0.2567968
,0,51.5517341,-0.2091866
yes,9,51.53903809936938,-0.22858263269330575
residential,8,51.52920900717025,-0.20185119004689614
,0,51.5641027,-0.2971906
,0,51.5787545,-0.32519785
,0,51.53432363821695,-0.19907680808362968
,0,51.52875659990397,-0.21267589935028122
,0,51.5620178,-0.2815313
yes,9,51.55377037759739,-0.2869756265841036
,0,51.53884595953292,-0.1950577365005796
,0,51.550887450000005,-0.20523755
yes,9,51.58863928806553,-0.2505984447176804
yes,9,51.535835908342555,-0.20314392004524695
residential,8,51.52921959999999,-0.21939719999999932
,0,51.56184002474088,-0.27057904752149387
