step,mean_s2,std_s2,frac_<5km,frac_5–10km,frac_10–15km,frac_15–20km,frac_<20km_combined,frac_Futaba,frac_Okuma,frac_Namie,frac_Tomioka,frac_Naraha,frac_Minamisoma,frac_Kawauchi,frac_Iitate,hours_since_t0
10,0.41903771718700744,0.33502588806343714,0.01627906976744186,0.660377358490566,0.5307443365695793,0.7738095238095238,0.41714285714285715,0.02857142857142857,0.00784313725490196,0.660377358490566,0.5307443365695793,0.7738095238095238,0.15484515484515485,1.1777777777777778,0.75,20
11,0.4181974492466259,0.3341633784083355,0.01627906976744186,0.5817610062893082,0.5145631067961165,0.6726190476190477,0.3787755102040816,0.017142857142857144,0.01568627450980392,0.5817610062893082,0.5145631067961165,0.6726190476190477,0.13286713286713286,1.0666666666666667,0.7071428571428572,22
12,0.41691025556968786,0.3337930223269415,0.0069767441860465115,0.5094339622641509,0.459546925566343,0.6488095238095238,0.3395918367346939,0.0,0.011764705882352941,0.5094339622641509,0.459546925566343,0.6488095238095238,0.13886113886113885,1.0555555555555556,0.5857142857142857,24
13,0.4211031206833428,0.33389818046474906,0.013953488372093023,0.4276729559748428,0.41423948220064727,0.5773809523809523,0.29959183673469386,0.017142857142857144,0.011764705882352941,0.4276729559748428,0.41423948220064727,0.5773809523809523,0.12787212787212787,0.9888888888888889,0.5714285714285714,26
14,0.3940903157912614,0.337346096347354,0.013953488372093023,0.3742138364779874,0.3656957928802589,0.5476190476190477,0.2693877551020408,0.017142857142857144,0.011764705882352941,0.3742138364779874,0.3656957928802589,0.5476190476190477,0.11788211788211789,0.9777777777777777,0.5285714285714286,28
15,0.3944495778399632,0.33719021579017067,0.004651162790697674,0.33647798742138363,0.32038834951456313,0.5476190476190477,0.24489795918367346,0.005714285714285714,0.00392156862745098,0.33647798742138363,0.32038834951456313,0.5476190476190477,0.1068931068931069,0.8555555555555555,0.5785714285714286,30
16,0.39376212246872444,0.3372869292479713,0.0069767441860465115,0.3081761006289308,0.28802588996763756,0.5059523809523809,0.22448979591836735,0.005714285714285714,0.00784313725490196,0.3081761006289308,0.28802588996763756,0.5059523809523809,0.0999000999000999,0.7888888888888889,0.5071428571428571,32
17,0.393843957018051,0.3372652334226684,0.002325581395348837,0.2672955974842767,0.2297734627831715,0.49404761904761907,0.19591836734693877,0.005714285714285714,0.0,0.2672955974842767,0.2297734627831715,0.49404761904761907,0.0919080919080919,0.8,0.4642857142857143,34
18,0.39359785151464793,0.33713673492667734,0.004651162790697674,0.25471698113207547,0.21035598705501618,0.44642857142857145,0.1820408163265306,0.011428571428571429,0.0,0.25471698113207547,0.21035598705501618,0.44642857142857145,0.07992007992007992,0.6888888888888889,0.38571428571428573,36
19,0.3930656762347348,0.33753570290876317,0.002325581395348837,0.24528301886792453,0.20064724919093851,0.4166666666666667,0.17224489795918368,0.005714285714285714,0.0,0.24528301886792453,0.20064724919093851,0.4166666666666667,0.07192807192807193,0.5444444444444444,0.37142857142857144,38
20,0.3928603227702655,0.33773404760186515,0.0069767441860465115,0.20754716981132076,0.19093851132686085,0.3630952380952381,0.15428571428571428,0.005714285714285714,0.00784313725490196,0.20754716981132076,0.19093851132686085,0.3630952380952381,0.06293706293706294,0.4888888888888889,0.3142857142857143,40
21,0.393210537992559,0.3375704208879894,0.004651162790697674,0.18238993710691823,0.1715210355987055,0.30357142857142855,0.13387755102040816,0.011428571428571429,0.0,0.18238993710691823,0.1715210355987055,0.30357142857142855,0.056943056943056944,0.5,0.29285714285714287,42
22,0.3928328060013065,0.33755099311626263,0.0,0.1761006289308176,0.1488673139158576,0.2619047619047619,0.11918367346938775,0.0,0.0,0.1761006289308176,0.1488673139158576,0.2619047619047619,0.054945054945054944,0.5,0.2785714285714286,44
