Time,Nakivale,
302,18087,16540
303,18121,16603
304,18161,16666
305,18205,16730
306,18255,16793
307,18300,16857
308,18339,16921
309,18396,16985
310,18444,17049
311,18477,17113
312,18517,17177
313,18566,17255
314,18618,17333
315,18651,17411
316,18683,17490
317,18718,17568
318,18735,17646
319,18790,17725
320,18837,17748
321,18863,17771
322,18887,17795
323,18917,17818
324,18947,17841
325,19001,17865
326,19028,17888
327,19067,17911
328,19095,17935
329,19118,17958
330,19150,17981
331,19182,18005
332,19223,18028
333,19254,18052
334,19311,18084
335,19371,18117
336,19383,18150
337,19421,18182
338,19453,18215
339,19516,18248
340,19547,18281
341,19577,18313
342,19599,18346
343,19617,18379
344,19655,18411
345,19680,18444
346,19715,18477
347,19754,18510
348,19797,18510
349,19832,18510
350,19858,18510
351,19888,18510
352,19915,18510
353,19947,18510
354,20004,18510
355,20032,18367
356,20056,18224
357,20077,18082
358,20125,17939
359,20161,17797
360,20195,17654
361,20231,17512
362,20279,17521
363,20297,17531
364,20328,17540
365,20374,17550
366,20386,17559
367,20418,17569
368,20441,17578
369,20462,17588
370,20493,17597
371,20524,17607
372,20570,17616
373,20616,17626
374,20647,17635
375,20679,17645
376,20712,17654
377,20746,17664
378,20773,17673
379,20792,17683
380,20816,17692
381,20827,17702
382,20864,17712
383,20912,17754
384,20945,17796
385,20966,17838
386,20996,17880
387,21009,17922
388,21027,17964
389,21057,18007
390,21108,18041
391,21132,18076
392,21159,18110
393,21188,18145
394,21221,18180
395,21236,18214
TEST,FAILED.,
TEST,FAILED.,
