Time,Bangui,Bangassou,Mobaye,Sibut,Bouar,Bossangoa,Nola,Mbaiki,Bimbo,Bozoum,Obo,Bambari,Bria,Ndele,Birao,Kaga Bandoro,Berberati,Melego,Rafai,Ippy,Mbres,Bossembele,Yaloke,Katakpo,Banga,Kago,Yapara,Beboura III,Gamboula,Baboua,Belom,Dosseye,East,Adamaoua,Monga,Mole,Gbadolite,Inke,Betou,Brazaville
39,5924,743,1044,3684,1962,1454,2449,3648,3330,2251,128,1104,1192,384,83,4099,4009,1781,559,3368,1872,6073,5324,6500,5560,2106,2652,2760,1862,2477,6080,12142,13952,6732,2759,2,1535,13,9825,633
40,5353,725,1016,3482,2024,1532,2502,3492,3289,2215,125,1175,1197,390,91,4105,4044,1729,594,3280,1928,5816,5280,6585,5510,2032,2741,2586,1934,2231,6432,12449,14416,6934,2920,2,1625,15,9825,682
41,5239,702,978,3392,1796,1541,2500,3402,3039,2346,121,1067,1213,409,81,4120,4124,1754,591,3306,1887,5729,5060,6733,5438,2065,2771,2493,1966,2135,6781,12449,14861,7114,3075,2,1705,15,9825,726
42,4944,712,995,3271,1857,1561,2544,3201,3103,2192,137,1023,1206,433,82,4157,4113,1699,602,3250,1849,5580,5076,6618,5626,2033,2780,2404,1953,2024,7170,12449,15301,7266,3211,2,1780,15,9825,755
43,4914,696,992,3231,1708,1512,2589,3057,2794,2242,133,1003,1209,454,81,4065,4099,1662,598,3184,1885,5513,4885,6747,5582,1988,2852,2430,1984,1952,7540,12449,15723,7415,3380,2,1857,18,9825,797
44,4693,698,955,3179,1715,1521,2671,2940,2780,2098,123,998,1212,468,81,4120,4035,1608,615,3197,1870,5319,4841,6712,5632,2052,2769,2403,1951,1867,7870,12449,16143,7557,3525,2,1932,20,9825,849
45,4620,704,952,3095,1632,1484,2636,2862,2673,2058,123,966,1218,479,76,4112,4051,1560,637,3093,1867,5174,4760,6727,5657,2072,2763,2349,1968,1819,8259,12449,16555,7689,3670,2,1992,22,9825,893
46,4463,697,928,3013,1551,1463,2634,2734,2691,2072,112,960,1204,465,95,3983,4014,1547,667,3035,1885,5050,4711,6758,5621,2008,2830,2326,1937,1713,8644,12449,17011,7831,3829,2,2065,25,9825,943
47,4388,664,903,2973,1596,1482,2665,2650,2566,2040,136,913,1169,476,84,4011,4054,1532,663,3071,1851,4982,4589,6737,5596,2014,2799,2205,1873,1597,8989,12449,17422,7963,3970,2,2135,29,9825,976
48,4265,683,867,2961,1570,1340,2668,2590,2473,1938,142,933,1176,455,91,4055,3967,1499,657,2981,1890,4911,4522,6690,5613,1991,2753,2218,1908,1601,9354,12449,17808,8079,4097,3,2206,31,9825,1027
49,4160,677,877,2850,1494,1380,2713,2526,2467,1828,138,919,1173,473,89,4034,4032,1460,649,2953,1905,4793,4466,6624,5536,1939,2732,2207,1912,1566,9720,12449,18181,8196,4227,3,2262,33,9825,1067
50,4101,635,868,2783,1510,1329,2703,2485,2331,1828,148,919,1141,442,93,3936,3984,1473,657,2974,1913,4643,4387,6577,5557,1915,2782,2128,1931,1503,10119,12449,18555,8312,4371,4,2322,33,9825,1117
51,3974,653,822,2678,1416,1292,2713,2431,2339,1833,149,897,1104,448,97,3862,3891,1469,637,2953,1938,4741,4212,6404,5608,1931,2774,2071,1972,1509,10457,12449,18961,8421,4506,4,2390,34,9825,1166
52,3955,660,853,2660,1377,1316,2637,2338,2288,1759,143,886,1106,472,96,3751,3862,1361,619,2915,1952,4645,4109,6452,5527,1981,2765,2000,2025,1450,10791,12449,19343,8548,4650,4,2464,37,9825,1208
53,3885,631,830,2653,1423,1321,2638,2267,2174,1699,134,866,1098,514,93,3738,3846,1359,637,2941,1872,4526,4079,6431,5470,1919,2720,1940,2008,1399,11161,12449,19729,8652,4782,4,2524,38,9825,1252
54,3697,652,831,2607,1358,1171,2656,2274,2185,1776,122,852,1082,497,88,3729,3909,1304,636,2908,1853,4457,3987,6260,5489,1866,2734,1954,1929,1358,11517,12449,20161,8750,4901,4,2603,38,9825,1306
55,3748,645,784,2542,1313,1290,2637,2220,2093,1686,135,788,1116,459,107,3785,3885,1335,590,2840,1821,4258,3986,6260,5443,1868,2664,1902,1918,1329,11843,12449,20521,8839,5033,5,2680,39,9825,1342
56,3624,619,753,2530,1303,1193,2588,2150,2126,1629,131,789,1124,476,106,3747,3857,1321,600,2762,1799,4268,3917,6313,5330,1834,2638,1886,1911,1328,12184,12449,20883,8927,5173,5,2738,45,9825,1390
57,3509,605,744,2530,1255,1193,2595,2176,1974,1700,138,802,1096,462,107,3618,3827,1301,591,2756,1806,4240,3817,6223,5344,1813,2631,1837,1930,1286,12535,12449,21221,9029,5275,6,2796,50,9825,1427
58,3523,605,744,2473,1228,1233,2619,2097,1975,1560,146,766,1077,474,101,3650,3836,1275,573,2733,1746,4133,3802,6119,5288,1783,2551,1848,1898,1277,12856,12449,21597,9136,5391,6,2850,52,9825,1472
59,3426,588,752,2486,1226,1186,2534,2065,2041,1563,140,779,1044,476,92,3520,3718,1211,587,2702,1718,3996,3758,6119,5314,1838,2541,1817,1883,1235,13189,12449,21959,9228,5523,6,2902,56,9825,1523
60,3387,614,734,2455,1213,1144,2508,2038,1989,1555,141,751,1034,464,98,3463,3682,1191,587,2635,1713,3954,3621,6084,5253,1791,2573,1832,1866,1264,13508,12449,22331,9315,5619,6,2956,61,9825,1559
61,3348,605,707,2384,1208,1167,2473,2010,1898,1585,156,765,1021,468,89,3461,3683,1185,575,2562,1661,3872,3624,6057,5177,1810,2494,1807,1859,1218,13812,12449,22682,9401,5736,7,3008,65,9825,1597
62,3226,603,718,2413,1200,1079,2456,2046,1887,1596,148,720,1012,456,93,3407,3650,1147,551,2553,1636,3809,3600,5943,5117,1782,2460,1785,1872,1193,14135,12449,23043,9505,5862,7,3066,68,9825,1641
63,3272,597,701,2378,1155,1043,2453,1987,1859,1510,133,725,965,466,85,3423,3557,1120,541,2567,1611,3784,3516,5836,5170,1748,2402,1813,1831,1173,14461,12449,23381,9587,5994,7,3119,72,9825,1691
64,3268,581,682,2296,1166,1060,2462,1904,1834,1469,120,752,978,460,82,3394,3576,1122,544,2460,1595,3719,3444,5800,5057,1709,2454,1802,1829,1153,14765,12449,23678,9677,6129,7,3159,76,9825,1718
65,3180,573,669,2267,1157,1058,2425,1901,1844,1508,123,710,954,451,69,3301,3613,1105,567,2452,1593,3686,3315,5804,4977,1728,2454,1680,1760,1138,15082,12449,24028,9758,6241,7,3218,80,9825,1753
66,3181,587,680,2237,1129,1096,2416,1888,1801,1422,113,713,898,445,65,3303,3566,1067,540,2482,1558,3570,3304,5651,5002,1740,2375,1626,1796,1128,15396,12449,24364,9826,6361,7,3257,85,9825,1802
67,3102,593,652,2195,1136,1053,2402,1845,1828,1415,116,687,915,414,74,3268,3592,1085,514,2453,1556,3459,3313,5640,4864,1700,2346,1623,1767,1170,15704,12449,24649,9905,6456,7,3296,89,9825,1842
68,3037,592,644,2143,1071,998,2373,1852,1763,1369,124,660,864,404,84,3213,3581,1067,487,2477,1574,3417,3241,5581,4856,1703,2316,1642,1735,1152,15995,12449,24969,9995,6570,7,3344,94,9825,1891
69,2921,576,634,2147,1036,1013,2390,1814,1789,1347,123,670,874,378,88,3141,3491,1047,480,2384,1568,3396,3165,5539,4822,1669,2280,1652,1715,1164,16285,12449,25241,10081,6705,7,3381,97,9825,1935
70,3027,567,604,2096,1034,996,2365,1781,1677,1366,134,623,878,387,89,3096,3384,1036,485,2317,1531,3407,3049,5534,4815,1676,2267,1551,1755,1108,16549,12449,25571,10151,6798,7,3433,98,9825,1963
71,2885,552,571,2042,1049,983,2294,1719,1736,1318,133,701,879,385,90,2980,3321,1034,468,2269,1553,3385,2939,5549,4794,1636,2241,1547,1760,1041,16850,12449,25907,10231,6909,7,3487,103,9825,2002
72,2905,543,599,2000,1035,973,2322,1696,1599,1314,136,644,865,395,93,2991,3392,1014,482,2198,1521,3284,2920,5432,4731,1652,2184,1507,1696,1050,17132,12449,26233,10289,7000,7,3526,104,9825,2031
73,2771,527,608,1958,1036,950,2247,1679,1570,1286,130,649,813,412,78,2986,3313,993,484,2195,1464,3203,2933,5431,4760,1636,2191,1469,1671,1019,17416,12449,26546,10363,7102,7,3566,110,9825,2068
74,2835,508,586,1921,939,908,2260,1642,1626,1205,113,626,810,407,75,3008,3281,981,495,2167,1387,3142,2891,5440,4605,1632,2181,1466,1622,1030,17675,12449,26847,10426,7206,8,3616,113,9825,2105
75,2656,507,599,1879,905,903,2251,1642,1573,1295,129,626,854,421,81,2948,3195,947,463,2091,1365,3100,2793,5367,4587,1575,2212,1486,1653,1008,17951,12449,27162,10496,7295,8,3653,119,9825,2135
76,2767,502,588,1817,928,950,2228,1613,1540,1186,125,586,850,403,79,2918,3239,933,472,2072,1362,2924,2798,5263,4514,1570,2141,1487,1606,968,18235,12449,27448,10577,7385,8,3694,123,9825,2176
77,2614,484,566,1768,943,919,2219,1559,1557,1193,129,604,813,402,71,2894,3202,930,464,2073,1361,2946,2710,5178,4476,1558,2085,1489,1612,962,18500,12449,27746,10628,7495,8,3743,127,9825,2192
78,2613,502,542,1777,929,834,2199,1572,1445,1223,125,575,751,375,70,2820,3159,948,434,2133,1346,2917,2664,5150,4416,1562,2060,1466,1604,952,18770,12449,28028,10677,7582,8,3786,129,9825,2222
79,2509,473,531,1776,962,847,2158,1582,1426,1186,121,607,779,360,73,2748,3080,942,443,2040,1352,2757,2674,5149,4382,1516,2045,1435,1593,945,19054,12449,28307,10757,7685,8,3825,132,9825,2251
80,2507,452,517,1753,868,890,2169,1562,1394,1189,104,631,805,367,70,2674,3046,941,459,1993,1323,2808,2609,5063,4291,1484,2105,1364,1579,931,19219,12449,28590,10836,7770,8,3867,136,9825,2281
81,2500,463,536,1729,921,838,2152,1531,1448,1158,103,583,834,345,95,2757,3004,904,440,1950,1344,2840,2578,5004,4242,1518,2174,1374,1560,929,19202,12449,28872,10890,7858,9,3909,139,9825,2322
82,2534,448,523,1739,898,875,2147,1526,1465,1138,94,588,808,343,114,2762,3007,923,427,1942,1337,2825,2557,4861,4283,1554,2294,1342,1483,919,19182,12449,29157,10956,7945,9,3952,140,9825,2358
83,2460,462,539,1758,884,854,2045,1507,1485,1138,88,580,764,345,119,2738,2955,934,431,1926,1419,2853,2554,4858,4293,1561,2379,1363,1490,930,19180,12449,29403,11009,8012,9,3989,142,9825,2399
84,2540,471,552,1735,891,932,2033,1515,1453,1166,93,553,761,346,138,2788,2968,902,402,1889,1439,2763,2536,4803,4213,1512,2436,1356,1484,944,19181,12449,29668,11074,8099,10,4028,145,9825,2436
85,2499,466,545,1711,853,890,2057,1523,1496,1178,73,587,732,353,149,2807,2976,893,430,1889,1424,2726,2549,4754,4128,1559,2507,1388,1472,946,19180,12449,29913,11133,8182,11,4058,148,9825,2470
86,2525,479,515,1743,930,900,2055,1489,1472,1118,77,556,647,379,141,2868,2962,906,428,1994,1378,2754,2527,4723,4059,1571,2537,1375,1476,898,19183,12449,30188,11182,8252,11,4106,150,9825,2501
87,2566,494,503,1752,891,922,1997,1498,1511,1149,82,580,696,401,137,2850,2850,924,410,1868,1427,2712,2537,4748,4036,1619,2553,1317,1503,899,19180,12449,30456,11238,8320,11,4132,157,9825,2529
88,2585,472,509,1783,930,896,2003,1492,1482,1173,91,585,716,405,140,2830,2832,904,416,1810,1434,2666,2512,4663,4085,1699,2580,1319,1435,878,19188,12449,30726,11308,8415,11,4172,160,9825,2550
89,2574,469,511,1807,919,856,1994,1472,1491,1182,79,535,715,415,142,2849,2814,904,404,1825,1443,2680,2495,4636,4017,1683,2647,1342,1487,900,19174,12449,30969,11360,8502,11,4207,166,9825,2579
90,2567,462,514,1756,944,927,1925,1401,1494,1229,88,591,753,418,132,2904,2813,877,395,1787,1427,2653,2487,4624,4024,1687,2642,1268,1477,902,19190,12449,31217,11426,8584,11,4238,171,9825,2617
91,2506,451,522,1783,992,905,1909,1386,1449,1118,83,513,743,409,146,2943,2848,852,381,1864,1399,2682,2529,4560,3985,1690,2690,1342,1473,914,19179,12449,31465,11494,8679,11,4272,176,9825,2646
92,2541,440,501,1774,930,878,1932,1410,1421,1129,80,531,714,409,157,2999,2848,866,381,1855,1384,2732,2494,4510,3924,1669,2754,1340,1439,961,19177,12449,31703,11538,8755,11,4314,177,9825,2678
93,2448,421,508,1801,952,900,1967,1479,1391,1162,71,564,742,404,163,3007,2853,828,390,1805,1420,2635,2526,4451,3854,1693,2755,1343,1412,948,19179,12449,31937,11612,8844,11,4361,180,9825,2706
94,2513,412,491,1745,935,901,1982,1463,1378,1220,84,559,699,421,158,3065,2784,864,365,1880,1375,2668,2457,4415,3845,1704,2731,1315,1440,930,19188,12449,32179,11682,8914,11,4400,183,9825,2734
95,2487,432,486,1802,909,867,1975,1457,1410,1194,84,535,714,432,160,3018,2769,848,372,1872,1402,2692,2450,4390,3842,1706,2807,1296,1385,925,19178,12449,32448,11738,8988,11,4428,190,9825,2758
96,2482,422,490,1772,908,903,1927,1379,1428,1135,91,560,701,440,164,3062,2748,860,382,1870,1401,2677,2497,4360,3830,1712,2790,1284,1400,937,19187,12449,32705,11818,9046,12,4459,190,9825,2795
97,2509,390,467,1794,849,875,1925,1375,1431,1166,88,564,673,432,169,3043,2714,876,407,1927,1450,2686,2445,4260,3825,1762,2764,1308,1435,913,19176,12449,32957,11880,9135,12,4500,193,9825,2816
98,2483,393,477,1774,925,840,1863,1401,1427,1149,81,567,663,430,179,3116,2711,885,418,1882,1457,2671,2428,4307,3769,1801,2749,1276,1428,899,19185,12449,33209,11939,9198,12,4526,199,9825,2841
99,2468,402,466,1806,838,878,1779,1409,1416,1133,89,526,643,447,167,3055,2615,878,407,1900,1514,2673,2404,4399,3779,1815,2829,1277,1430,932,19176,12449,33458,11990,9275,13,4571,201,9825,2867
100,2428,404,469,1787,895,894,1864,1390,1429,1138,91,536,638,453,157,3078,2609,853,393,1928,1476,2652,2403,4228,3751,1842,2823,1286,1462,920,19187,12449,33723,12050,9357,13,4603,204,9825,2878
101,2500,420,469,1765,888,883,1826,1378,1392,1142,97,562,624,461,152,3122,2586,836,373,1920,1499,2718,2354,4292,3679,1826,2839,1303,1428,888,19176,12449,33970,12115,9413,13,4644,205,9825,2901
102,2455,436,466,1767,893,891,1808,1399,1417,1111,96,541,602,472,149,3111,2644,843,375,1950,1488,2683,2400,4226,3655,1786,2892,1352,1376,890,19184,12449,34198,12163,9482,14,4683,208,9825,2920
103,2470,439,484,1752,888,884,1740,1381,1429,1104,95,529,594,476,145,3183,2680,825,387,1897,1508,2584,2455,4255,3645,1760,2985,1303,1321,910,19176,12449,34443,12222,9563,14,4714,212,9825,2941
104,2416,415,464,1764,883,886,1730,1425,1379,1143,85,520,610,475,145,3259,2674,854,415,1846,1512,2656,2361,4188,3639,1751,2939,1330,1321,928,19186,12449,34704,12274,9636,14,4747,219,9825,2967
105,2365,421,474,1743,854,877,1765,1416,1413,1122,86,540,652,457,165,3275,2641,820,399,1839,1502,2637,2366,4131,3645,1744,3004,1344,1305,985,19174,12449,34913,12338,9695,14,4793,223,9825,2990
106,2496,410,475,1768,843,886,1707,1431,1352,1113,96,532,661,466,146,3278,2621,828,390,1857,1507,2605,2345,4157,3592,1790,2940,1306,1355,948,19202,12449,35153,12391,9776,14,4824,226,9825,3007
107,2348,390,467,1755,924,895,1727,1404,1483,1161,89,519,639,474,153,3229,2605,831,389,1926,1488,2588,2359,4119,3583,1814,2990,1283,1296,935,19183,12449,35369,12457,9856,15,4866,228,9825,3024
108,3922,396,467,2261,1803,1042,1720,1587,2805,1880,94,752,635,473,173,3327,2814,993,376,2157,1484,2987,2530,4059,3553,1983,2949,1608,1251,1080,19182,12449,35607,12526,9918,16,4896,231,9825,3045
109,4328,416,495,2366,1496,1151,1672,1849,2201,1677,90,772,687,458,175,3395,2902,1009,383,2147,1541,3079,2670,4137,3503,2015,2955,1752,1292,1287,19179,12449,35841,12588,9986,16,4929,236,9825,3066
110,3765,433,524,2442,1502,1148,1625,1914,2510,1741,72,813,671,464,175,3447,2919,1019,414,2177,1576,3231,2803,4082,3588,2038,3044,1759,1319,1363,19189,12449,36098,12677,10059,16,4959,239,9825,3085
111,4033,436,544,2512,1437,1162,1656,2006,2321,1677,83,760,719,469,180,3544,2869,1046,401,2196,1580,3286,2888,4056,3647,2089,3051,1813,1370,1399,19178,12449,36358,12791,10139,16,4989,244,9825,3114
112,3756,453,524,2546,1407,1186,1721,1974,2258,1616,74,760,776,478,182,3621,2898,1075,428,2134,1565,3287,2974,4054,3632,2043,3116,1867,1379,1392,19184,12449,36622,12893,10211,17,5035,246,9825,3130
113,3712,468,559,2536,1308,1196,1742,1986,2124,1594,76,731,752,480,174,3644,2865,1059,403,2147,1620,3409,2959,4101,3603,2056,3160,1882,1411,1354,19188,12449,36892,12992,10294,17,5073,251,9825,3151
114,3481,468,559,2460,1305,1198,1735,1974,2142,1622,79,732,780,495,159,3653,2856,1066,411,2139,1668,3428,2952,4135,3590,2084,3192,1910,1432,1355,19181,12449,37168,13067,10382,19,5123,252,9825,3172
115,3458,476,563,2433,1241,1218,1688,1995,1938,1567,90,724,773,517,163,3699,2794,1049,394,2119,1692,3422,2983,4173,3605,2090,3239,1852,1442,1362,19180,12449,37453,13171,10477,20,5165,259,9825,3193
116,3217,454,555,2398,1246,1212,1713,1938,1975,1495,87,715,756,517,171,3777,2774,1046,422,2151,1685,3399,2980,4240,3635,2113,3252,1839,1370,1317,19178,12449,37768,13254,10577,20,5203,267,9825,3214
117,3272,462,574,2327,1185,1130,1721,1969,1777,1526,97,667,761,492,191,3831,2752,1026,419,2164,1692,3451,2924,4192,3648,2124,3331,1779,1389,1283,19191,12449,38055,13336,10661,21,5243,274,9825,3246
118,3089,458,570,2306,1113,1173,1728,1859,1902,1400,83,687,739,511,197,3902,2701,1013,433,2188,1657,3389,2961,4235,3728,2142,3340,1769,1338,1267,19178,12449,38331,13438,10750,22,5285,279,9825,3275
119,3094,455,581,2302,1086,1164,1707,1842,1775,1467,79,610,747,518,188,3859,2713,975,436,2193,1719,3301,2908,4351,3682,2197,3388,1734,1319,1210,19187,12449,38594,13530,10839,22,5339,280,9825,3298
120,3023,434,589,2246,1086,1118,1802,1777,1747,1460,83,679,792,507,206,3877,2722,956,424,2120,1749,3325,2825,4347,3619,2187,3480,1716,1327,1161,19177,12449,38838,13592,10931,23,5377,291,9825,3329
121,2948,457,576,2209,1069,1162,1765,1706,1766,1399,93,659,781,540,209,3882,2661,964,408,2106,1708,3285,2830,4310,3719,2152,3570,1655,1360,1153,19194,12449,39076,13664,11019,23,5413,294,9825,3364
122,3126,442,562,2257,1129,1101,1697,1697,1819,1434,97,657,748,545,212,3899,2642,981,423,2160,1706,3257,2877,4335,3784,2263,3569,1655,1334,1183,19175,12449,39325,13716,11104,23,5447,297,9825,3393
123,3186,446,547,2241,1171,1115,1700,1703,1873,1499,97,696,753,565,219,3935,2650,1007,413,2206,1733,3246,2902,4331,3769,2217,3595,1706,1334,1140,19187,12449,39594,13799,11186,24,5486,301,9825,3421
