alpha,beta,kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
0.5,9.0,9.444444444444445,2,0.22020315223650316,0.00149039611225001,0.022942954583537407
0.5,9.0,11.555555555555555,0,0.21711613473393654,0.0015312713803298395,0.023124311972777874
0.5,9.0,11.555555555555555,1,0.21567502165220948,0.0015869130279252213,0.023204648523156922
0.5,9.0,11.555555555555555,2,0.20640138698654872,0.0015453440499611933,0.023939623929941072
0.5,9.0,13.666666666666668,0,0.20752291347043061,0.0014910644455566311,0.023859206819554335
0.5,9.0,13.666666666666668,1,0.2121887819722049,0.0015393655661437116,0.023470248185248573
0.5,9.0,13.666666666666668,2,0.22578175464982972,0.0014532216586277053,0.022652668763441835
0.5,9.0,15.777777777777779,0,0.21614344841824057,0.0018213908082055097,0.023103166307022898
0.5,9.0,15.777777777777779,1,0.20199894214805597,0.0015086819249337153,0.02435377309857618
0.5,9.0,15.777777777777779,2,0.20750120272844236,0.001533819534674158,0.023848354511491653
0.5,9.0,17.88888888888889,0,0.2083394906279063,0.001623751792883969,0.02375110907316201
0.5,9.0,17.88888888888889,1,0.216168840749664,0.001518476399823334,0.023191310186851413
0.5,9.0,17.88888888888889,2,0.21597012324235226,0.0014974801706999423,0.02321103090779235
0.5,9.0,20.0,0,0.21679134355942364,0.0015057541193719739,0.023153355922244642
0.5,9.0,20.0,1,0.20827287636360867,0.0015788047188443962,0.023770004055653614
0.5,9.0,20.0,2,0.22220289532127493,0.001597206057859491,0.022796068278353412
0.5,10.0,1.0,0,0.2234951542695801,0.0009841169388761836,0.02290824025167989
0.5,10.0,1.0,1,0.21030907267733792,0.0009220813945074254,0.023799595527478713
0.5,10.0,1.0,2,0.2208918835222645,0.0008416308252882518,0.023095501539741013
0.5,10.0,3.111111111111111,0,0.21948056293842558,0.0007496678668937895,0.023207097680397918
0.5,10.0,3.111111111111111,1,0.21458584992543134,0.0009705395866373116,0.023463942096602106
0.5,10.0,3.111111111111111,2,0.2237392547073822,0.0009550553891444626,0.022904022257376744
0.5,10.0,5.222222222222222,0,0.218799572264238,0.0010773296078839263,0.02315142844761335
0.5,10.0,5.222222222222222,1,0.21427301194413798,0.0010037951769876073,0.02347628672720476
0.5,10.0,5.222222222222222,2,0.21800665353101506,0.0008915356214396724,0.023256908367616902
0.5,10.0,7.333333333333334,0,0.2202010516878781,0.0009455857868178444,0.023105195716943396
0.5,10.0,7.333333333333334,1,0.22325747396340204,0.0009139537176077253,0.02294181189493373
0.5,10.0,7.333333333333334,2,0.21129911847371308,0.0008646218082081197,0.023739119259320488
0.5,10.0,9.444444444444445,0,0.22396335351547622,0.001000486229727614,0.02287876206393765
0.5,10.0,9.444444444444445,1,0.22066669784311124,0.000883188847945844,0.02309626598358472
0.5,10.0,9.444444444444445,2,0.20998579962428063,0.0010855874472664177,0.023776638497633958
0.5,10.0,11.555555555555555,0,0.203239454230054,0.0008293121491250074,0.024438442754606396
0.5,10.0,11.555555555555555,1,0.21320951754428752,0.0009501700820798219,0.023569391397885022
0.5,10.0,11.555555555555555,2,0.2213299935594067,0.0010155343589901542,0.023018340271640902
0.5,10.0,13.666666666666668,0,0.21827979863550104,0.0008793568048176402,0.023243137401549253
0.5,10.0,13.666666666666668,1,0.21441157659563423,0.0010099110753399108,0.02346458247818653
0.5,10.0,13.666666666666668,2,0.21370908783138445,0.0009609258866436972,0.023529675918596674
0.5,10.0,15.777777777777779,0,0.22318753158232502,0.0009582104402442553,0.02293236349782334
0.5,10.0,15.777777777777779,1,0.22336516217998875,0.0010200120814323169,0.022904451385914872
0.5,10.0,15.777777777777779,2,0.2121528844858965,0.0008709205487611244,0.02367188649071181
0.5,10.0,17.88888888888889,0,0.21350539574870592,0.0009663332526065269,0.023542889963631703
0.5,10.0,17.88888888888889,1,0.21448200561994565,0.0010832573961424348,0.02343772415252514
0.5,10.0,17.88888888888889,2,0.22335422794904128,0.0010737866544912606,0.022889014189623635
0.5,10.0,20.0,0,0.21923759998443684,0.0009747910861674504,0.02315483814652896
0.5,10.0,20.0,1,0.22670601933980494,0.0010033421804941994,0.02274261357638044
0.5,10.0,20.0,2,0.22147548413739443,0.00110488231923128,0.022983404074366002
1.0,1.0,1.0,0,0.15304125123417114,0.16440750625402803,0.009608575198694975
1.0,1.0,1.0,1,0.15399604247313972,0.1709694377682611,0.009656477181136167
1.0,1.0,1.0,2,0.16025220227860645,0.16221870161513188,0.008203963864999799
1.0,1.0,3.111111111111111,0,0.20264432362329335,0.10978288057847094,0.003859976779660902
1.0,1.0,3.111111111111111,1,0.16222137276579493,0.16792122706871873,0.008026257778770104
1.0,1.0,3.111111111111111,2,0.1597727523756914,0.14429234870465382,0.008173533497167568
