kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
12.0,9,0.3117143266688411,0.11816099507501138,9.168380667231275e-05
13.0,0,0.31287349551614246,0.11597340073972379,5.1273834712788935e-05
13.0,1,0.33197096049583774,0.1109921001759394,0.0003092029237581006
13.0,2,0.3392173671985416,0.1061477231087996,0.000619083724691617
13.0,3,0.32623554278196665,0.07996851342091099,0.0009805501773791946
13.0,4,0.3172630163710457,0.11871337727089504,0.00010198395747340688
13.0,5,0.32953987126171325,0.07089853509522831,0.0016779193554584567
13.0,6,0.31049025729116886,0.10647002026442202,2.2478834053459717e-05
13.0,7,0.3132324623382285,0.11089470734839606,5.19656766007521e-06
13.0,8,0.31488186579712846,0.11607684539165619,5.022756218442203e-05
13.0,9,0.301846667365792,0.10872226194145511,0.00016018396518107696
14.0,0,0.30968595892389816,0.11505712564624015,5.986376257673596e-05
14.0,1,0.3228320154189603,0.10891799756724714,6.942920534076927e-05
14.0,2,0.2889054283214807,0.11458610632679514,0.0006862866833011233
14.0,3,0.3200344421070887,0.10620197205157501,3.845900983688374e-05
14.0,4,0.29970432956622955,0.1095684926283108,0.00021923504745319269
14.0,5,0.3228183892082316,0.11509621515296212,0.00010635943821082856
14.0,6,0.30037429685334316,0.11757009432628343,0.00027298200614886653
14.0,7,0.3179340665042699,0.11842359252946213,0.00010059690891708317
14.0,8,0.3087741828440681,0.12291174625374846,0.00022632166593184824
14.0,9,0.313880599761339,0.11580925798744426,4.674965099522685e-05
15.0,0,0.33325305723665455,0.11939385336205109,0.00045970934343306225
15.0,1,0.33313295540319043,0.09387975075608898,0.0005758089642552753
15.0,2,0.32307875530499874,0.10894968191066333,7.359757449315855e-05
15.0,3,0.30579186310302625,0.1056204870207083,8.725275619363672e-05
15.0,4,0.31003066178527433,0.1134215482320497,3.9525072845949045e-05
15.0,5,0.3301275861638231,0.11981581557964228,0.00036120331596054776
15.0,6,0.3192326928435436,0.10347991237745793,5.286974891187099e-05
15.0,7,0.2968740481714292,0.11276263513301905,0.00032483160100732754
15.0,8,0.33516417244633134,0.10004901980201353,0.0005071280693964654
15.0,9,0.2944654747725599,0.11389858092696882,0.00042537829618699617
16.0,0,0.31005819395737816,0.10685035762783564,2.4350603248476344e-05
16.0,1,0.3107324830586281,0.11381043729563088,3.7334490878720794e-05
16.0,2,0.3539652383446409,0.0816271883281575,0.00230677585642147
16.0,3,0.33922130861718014,0.0914635691583305,0.0009186695064105223
16.0,4,0.3299290720969043,0.10113238207678145,0.0002999556775572208
16.0,5,0.3289493921511105,0.09165247397418827,0.0005097215927527895
16.0,6,0.3140105093472988,0.11770695207574854,7.60506155484636e-05
16.0,7,0.2907500145027755,0.10891701298544107,0.00056406869796296
16.0,8,0.3288804170883433,0.1075573621654709,0.00020887759955633112
16.0,9,0.3272521161904915,0.09227092456195836,0.0004424784323474834
17.0,0,0.3299560990363656,0.11639085380979983,0.00029351571745977356
17.0,1,0.3138119762664782,0.11570504986233303,4.5431070314261425e-05
17.0,2,0.30689990322134375,0.10287345058131357,9.529607882454813e-05
17.0,3,0.3253673780253933,0.11806062596957649,0.00020019484810736472
17.0,4,0.3292847653889008,0.12195839450114658,0.0003865092756521843
17.0,5,0.3371135694763936,0.10557267904547799,0.0005231200533889856
17.0,6,0.30613493041561307,0.11019020128404731,7.139096824818322e-05
17.0,7,0.3163456889012239,0.10898002636372106,3.406966466247236e-06
17.0,8,0.28964002606530326,0.11200654089266512,0.0006270575921730691
17.0,9,0.3223429061678136,0.09044870160231071,0.00040566184939723753
18.0,0,0.31190804724519494,0.11697150832402645,7.026316404316447e-05
18.0,1,0.32247989958106754,0.1028027547927139,0.00010208464548315237
18.0,2,0.29138136397792125,0.12619383908370868,0.0008300994339578256
18.0,3,0.30278661505967497,0.11228590692582355,0.00014800057108540845
18.0,4,0.3347470254214971,0.11289622954292301,0.0004251226430698954
18.0,5,0.31603970391728986,0.11988191381051783,0.00012078673633245634
18.0,6,0.30916397163738873,0.12524162639897624,0.00029226362677051365
18.0,7,0.299455677946624,0.11973076329955268,0.0003414809070367229
18.0,8,0.32268328039673344,0.1095399424638919,6.725761591587544e-05
18.0,9,0.3029780370053522,0.11296639253931166,0.00014848790102594064
19.0,0,0.317106085373482,0.11091498734491828,1.0458857505074001e-05
19.0,1,0.31163675517323597,0.11548670156670202,5.027546815344539e-05
19.0,2,0.3209823059243931,0.10856700586409102,4.220777401915324e-05
19.0,3,0.3241378581715316,0.0976492932297477,0.00022172685431881014
19.0,4,0.3367303552717909,0.09595314362995237,0.000664409156650694
19.0,5,0.3388878609595685,0.10786499281608075,0.0005960560034907946
19.0,6,0.30539731496620803,0.11972041393603718,0.0001977861497844004
