cmc,alpha,beta,kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
0.2,1.25,1.8055555555555556,15.0,4,0.24124542663442378,0.11333882705867021,0.005385057939217639
0.2,1.25,1.8055555555555556,15.0,5,0.21027963622412774,0.11458459407353819,0.010893071916541345
0.2,1.25,1.8055555555555556,15.0,6,0.24525994575486304,0.10831328960241904,0.004794656683039655
0.2,1.25,1.8055555555555556,16.25,0,0.2422164239855628,0.1081039459960657,0.005225718274212886
0.2,1.25,1.8055555555555556,16.25,1,0.29519776436397716,0.0815878657732063,0.0011240014034163048
0.2,1.25,1.8055555555555556,16.25,2,0.25879600072150477,0.0889811891643422,0.003503688322892447
0.2,1.25,1.8055555555555556,16.25,3,0.2370073532970492,0.09904228819204376,0.006104266317478664
0.2,1.25,1.8055555555555556,16.25,4,0.23654079008486953,0.11190781933652508,0.006086093823885246
0.2,1.25,1.8055555555555556,16.25,5,0.2328752397499061,0.12100111954988697,0.0068066283563359906
0.2,1.25,1.8055555555555556,16.25,6,0.25399940810932997,0.10721949113448645,0.0036634918309415804
0.2,1.25,1.8055555555555556,17.5,0,0.2233576012228957,0.12451795593850226,0.008547743811354001
0.2,1.25,1.8055555555555556,17.5,1,0.27927377424497907,0.10377303944755667,0.001268208097560499
0.2,1.25,1.8055555555555556,17.5,2,0.23959678056863992,0.11904556612887217,0.005711405680032022
0.2,1.25,1.8055555555555556,17.5,3,0.2373127025413248,0.11402913896222734,0.0059831711276754
0.2,1.25,1.8055555555555556,17.5,4,0.2566117064049672,0.1292481273723016,0.003761041197429662
0.2,1.25,1.8055555555555556,17.5,5,0.23920649604758423,0.129089482185447,0.006072699031911842
0.2,1.25,1.8055555555555556,17.5,6,0.23657664161369996,0.1141930815288152,0.006099017877964679
0.2,1.25,1.8055555555555556,18.75,0,0.2584435022002987,0.12622550761859475,0.003439049058286181
0.2,1.25,1.8055555555555556,18.75,1,0.22922572108447498,0.1158219630656661,0.007318241824632069
0.2,1.25,1.8055555555555556,18.75,2,0.23452466269999594,0.11207940447955682,0.006405537308198135
0.2,1.25,1.8055555555555556,18.75,3,0.250903619083257,0.10470496534244658,0.004062946988417061
0.2,1.25,1.8055555555555556,18.75,4,0.2544238538404393,0.11097517079103794,0.0036130446370386685
0.2,1.25,1.8055555555555556,18.75,5,0.24828850831983285,0.11274137779925747,0.004397959538349622
0.2,1.25,1.8055555555555556,18.75,6,0.24683270563036214,0.11718255872712319,0.004645816994630044
0.2,1.25,1.986111111111111,11.25,0,0.27967209029626106,0.10089281798200561,0.001278709694604685
0.2,1.25,1.986111111111111,11.25,1,0.27115624270297034,0.09590954186239756,0.002050041390876134
0.2,1.25,1.986111111111111,11.25,2,0.2637451098405642,0.0876872792546318,0.0030302909406664407
0.2,1.25,1.986111111111111,11.25,3,0.27121594593176623,0.08647820898895028,0.002380740406927184
0.2,1.25,1.986111111111111,11.25,4,0.26572901777514996,0.07908881318954016,0.003273287803586866
0.2,1.25,1.986111111111111,11.25,5,0.2726857104669764,0.1044954331256485,0.0017687259318770296
0.2,1.25,1.986111111111111,11.25,6,0.2691711381814693,0.1078399762666558,0.0020560513688253706
0.2,1.25,1.986111111111111,12.5,0,0.2592931757284451,0.1004835484492921,0.0031203233931658956
0.2,1.25,1.986111111111111,12.5,1,0.2384338247257499,0.10193016720676987,0.00583604555657717
0.2,1.25,1.986111111111111,12.5,2,0.2626868757511837,0.10174921005070187,0.0027371737993121172
0.2,1.25,1.986111111111111,12.5,3,0.2602861969234335,0.10523165192623667,0.002953336891229765
0.2,1.25,1.986111111111111,12.5,4,0.26783485212957203,0.11197189211043433,0.00218646816848497
0.2,1.25,1.986111111111111,12.5,5,0.25249243643875663,0.11489888059472564,0.0038797347310724675
0.2,1.25,1.986111111111111,12.5,6,0.26258164059728073,0.09671250903923288,0.002846498477180862
0.2,1.25,1.986111111111111,13.75,0,0.25290486369484433,0.10186254431120065,0.003844904090160281
0.2,1.25,1.986111111111111,13.75,1,0.26845154955372325,0.11615166530497602,0.002171606105137604
0.2,1.25,1.986111111111111,13.75,2,0.2530748720031559,0.1047821834063143,0.0037908363262466483
0.2,1.25,1.986111111111111,13.75,3,0.2411058181351754,0.10277252129742087,0.005425487422598026
0.2,1.25,1.986111111111111,13.75,4,0.2756080303260621,0.08649442639492687,0.0020190861484118677
0.2,1.25,1.986111111111111,13.75,5,0.2639790597750498,0.11281734799207573,0.002566937546905594
0.2,1.25,1.986111111111111,13.75,6,0.25688129555807543,0.09720016282421974,0.0034591512589407843
0.2,1.25,1.986111111111111,15.0,0,0.2555693300229171,0.09760919681184778,0.0036025742612190792
0.2,1.25,1.986111111111111,15.0,1,0.2509847999463689,0.11296473956384777,0.004049899797661919
0.2,1.25,1.986111111111111,15.0,2,0.2557923848998169,0.09627218855413258,0.0036085812549527976
0.2,1.25,1.986111111111111,15.0,3,0.24322539632903495,0.1044199832346037,0.005101045682024456
0.2,1.25,1.986111111111111,15.0,4,0.2506531463330691,0.11513005631444985,0.0041139983135848116
0.2,1.25,1.986111111111111,15.0,5,0.23244931712878053,0.10706183259744655,0.006736071052513749
0.2,1.25,1.986111111111111,15.0,6,0.25445734442140977,0.11747074943527387,0.0036768740849244053
0.2,1.25,1.986111111111111,16.25,0,0.26097061140141375,0.12061309418909087,0.0030002594003831515
0.2,1.25,1.986111111111111,16.25,1,0.2379674201519062,0.10597897737847722,0.0058663623558846065
0.2,1.25,1.986111111111111,16.25,2,0.25635372423139124,0.10150594643459233,0.003437150224600297
0.2,1.25,1.986111111111111,16.25,3,0.2497005363075723,0.11570427721265139,0.004243917827770333
0.2,1.25,1.986111111111111,16.25,4,0.2565196921291098,0.09829523883388976,0.0034763080124266743
0.2,1.25,1.986111111111111,16.25,5,0.27029128956407567,0.10519126168509238,0.0019689165659588508
0.2,1.25,1.986111111111111,16.25,6,0.24991342483956738,0.10922164346982297,0.0041714748167819265
0.2,1.25,1.986111111111111,17.5,0,0.26333513863052616,0.09453464675577453,0.0028270894834377014
0.2,1.25,1.986111111111111,17.5,1,0.2659364655242548,0.11557046779430226,0.002401587927812854
0.2,1.25,1.986111111111111,17.5,2,0.24474932467831273,0.108644850236576,0.004865282839185894
0.2,1.25,1.986111111111111,17.5,3,0.2647872418950628,0.11222409774729997,0.0024817531246841434
0.2,1.25,1.986111111111111,17.5,4,0.2647675106758428,0.08732614434839162,0.0029430765131841655
0.2,1.25,1.986111111111111,17.5,5,0.24478180849329617,0.10834127855575233,0.004861060140906541
0.2,1.25,1.986111111111111,17.5,6,0.29137776033294593,0.08933879774173932,0.0009212008414609233
0.2,1.25,1.986111111111111,18.75,0,0.26515292109328437,0.10785903103861474,0.0024364360067964637
0.2,1.25,1.986111111111111,18.75,1,0.25859080976466975,0.11118789379951564,0.0031306244320483067
0.2,1.25,1.986111111111111,18.75,2,0.269033147539271,0.08619814784289245,0.00258715913448029
0.2,1.25,1.986111111111111,18.75,3,0.24513257645281128,0.11122374487197122,0.0048167844908306905
