Day,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
189,228,50944,0.9955244974874372,23,20389,0.9988719407523665,2665,6767,0.6061770356140092,2099,80526,0.9739338847080447,227,126586,0.99820675272147,0.9816206891715636,285212,5405,285212,5242,0
190,228,50949,0.9955249367014073,23,20814,0.9988949745363698,2669,6803,0.6076730854034984,2102,80539,0.9739008430698171,227,126586,0.99820675272147,0.981627002600712,285691,5422,285691,5249,0
191,228,50955,0.9955254636443921,23,21239,0.9989170864918311,2671,6838,0.6093887101491664,2109,80551,0.9738178296979554,228,126586,0.9981988529537231,0.9816227473975169,286169,5418,286169,5259,0
192,228,50960,0.9955259026687598,23,21664,0.9989383308714919,2679,6874,0.6102705848123363,2111,80563,0.9737969042860867,228,126586,0.9981988529537231,0.9816185063859032,286647,5438,286647,5269,0
193,228,50966,0.9955264293842954,23,22089,0.9989587577527276,2686,6910,0.6112879884225759,2115,80576,0.9737514892772041,229,126586,0.9981909531859763,0.9816074420030161,287127,5456,287127,5281,0
194,230,50966,0.9954871875367892,23,22306,0.9989688872948982,2692,6946,0.61243881370573,2117,80580,0.9737279722015388,231,126586,0.9981751536504827,0.9815821340088523,287384,5469,287384,5293,0
195,232,50966,0.9954479456892831,23,22523,0.998978821648981,2694,6982,0.6141506731595532,2119,80584,0.973704457460538,231,126586,0.9981751536504827,0.9815777305738751,287641,5487,287641,5299,0
196,233,50966,0.99542832476553,23,22740,0.9989885664028144,2703,7017,0.6147926464300983,2121,80588,0.9736809450538542,231,126586,0.9981751536504827,0.9815524302094152,287897,5495,287897,5311,0
197,234,50966,0.9954087038417768,23,22957,0.9989981269329616,2709,7053,0.6159081242024671,2127,80593,0.9736081297383148,232,126586,0.9981672538827359,0.9815203623050095,288155,5501,288155,5325,0
198,234,50966,0.9954087038417768,23,23174,0.9990075084146026,2714,7089,0.6171533361546058,2133,80597,0.9735349950990732,232,126586,0.9981672538827359,0.981498689374922,288412,5524,288412,5336,0
199,235,50966,0.9953890829180237,23,23391,0.9990167158308751,2722,7125,0.6179649122807018,2138,80601,0.9734742745127232,232,126586,0.9981672538827359,0.9814666625096564,288669,5531,288669,5350,0
200,236,50966,0.9953694619942707,23,23608,0.9990257539817011,2727,7161,0.6191872643485546,2151,80605,0.9733143105266423,233,126586,0.998159354114989,0.9814139260571911,288926,5573,288926,5370,0
201,237,50966,0.9953498410705176,23,23825,0.9990346274921301,2738,7196,0.6195108393551974,2155,80610,0.973266344126039,233,126586,0.998159354114989,0.9813751154113485,289183,5544,289183,5386,0
202,238,50966,0.9953302201467645,23,24042,0.9990433408202313,2745,7232,0.6204369469026549,2162,80614,0.973180837075446,234,126586,0.9981514543472422,0.9813363736871199,289440,5575,289440,5402,0
203,239,50966,0.9953105992230115,23,24259,0.9990518982645616,2749,7268,0.6217666483214089,2164,80618,0.9731573593986454,233,126586,0.998159354114989,0.9813322195259184,289697,5567,289697,5408,0
204,240,50966,0.9952909782992583,23,24476,0.9990603039712371,2752,7304,0.6232201533406352,2165,80622,0.9731462876138027,235,126586,0.9981435545794953,0.981324623905861,289954,5593,289954,5415,0
205,241,50966,0.9952713573755052,23,24693,0.999068561940631,2758,7340,0.6242506811989101,2170,80627,0.9730859389534523,235,126586,0.9981435545794953,0.9812998773310545,290212,5593,290212,5427,0
206,241,50973,0.9952720067486709,24,24777,0.9990313597287808,2770,7375,0.6244067796610169,2176,80625,0.9730108527131783,236,126586,0.9981356548117485,0.9812389782872258,290336,5590,290336,5447,0
207,242,50980,0.9952530404080031,24,24862,0.999034671386051,2777,7411,0.6252867359330725,2179,80624,0.9729733081960706,236,126586,0.9981356548117485,0.9812093106523034,290463,5615,290463,5458,0
208,242,50988,0.9952537852043618,24,24946,0.9990379219113285,2783,7447,0.6262924667651404,2181,80623,0.9729481661560597,238,126586,0.9981198552762549,0.9811831102240269,290590,5616,290590,5468,0
