Day,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Pugnido sim,Pugnido data,Pugnido error,Teirkidi sim,Teirkidi data,Teirkidi error,Dadaab sim,Dadaab data,Dadaab error,Kakuma sim,Kakuma data,Kakuma error,EastDarfur sim,EastDarfur data,EastDarfur error,Khartoum sim,Khartoum data,Khartoum error,WestKordofan sim,WestKordofan data,WestKordofan error,WhiteNile sim,WhiteNile data,WhiteNile error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
44,77,748,0.897058823529,37,490,0.924489795918,267,42018,0.993645580466,191,14357,0.986696385039,4474,80,54.925,91106,53735,0.695468502838,4,71,0.943661971831,1,210,0.995238095238,0,2470,1.0,8,9709,0.999176022247,0.8980127211675062,123888,161368,107278
45,88,765,0.884967320261,43,501,0.914171656687,313,42017,0.992550634267,233,14683,0.984131308316,4469,81,54.1728395062,91302,54133,0.686623686106,7,73,0.904109589041,4,215,0.981395348837,2,2526,0.999208234363,11,9930,0.99889224572,0.8930709871601934,124924,163310,107676
46,110,782,0.859335038363,55,512,0.892578125,376,42016,0.99105102818,283,15009,0.981144646545,4462,83,52.7590361446,91548,54609,0.676426962589,8,74,0.891891891892,4,220,0.981818181818,3,2582,0.998838109992,12,10150,0.99881773399,0.8871363171132286,126037,165329,108172
47,127,799,0.841051314143,69,523,0.868068833652,447,42015,0.989360942521,345,15335,0.977502445386,4456,85,51.4235294118,91759,54880,0.671993440233,11,76,0.855263157895,5,220,0.977272727273,6,2638,0.997725549659,14,10371,0.998650081959,0.8838918561232689,126942,167140,108443
48,146,816,0.821078431373,85,534,0.840823970037,507,42015,0.987932881114,415,15662,0.973502745499,4450,87,50.1494252874,91965,55358,0.6612775028,12,78,0.846153846154,5,220,0.977272727273,6,2694,0.997772828508,16,10592,0.998489425982,0.8776550883988256,128056,169160,108921
49,169,832,0.796875,105,545,0.807339449541,585,42014,0.986076069881,494,15988,0.96910182637,4442,89,48.9101123596,92205,55670,0.656278067182,13,79,0.835443037975,7,220,0.968181818182,6,2750,0.997818181818,16,10812,0.998520162782,0.8739059992713122,128999,171009,109233
50,188,850,0.778823529412,120,557,0.784560143627,678,42013,0.98386213791,568,16314,0.965183278166,4435,91,47.7362637363,92435,56146,0.646332775264,16,81,0.802469135802,9,220,0.959090909091,7,2806,0.997505345688,21,11033,0.998096619233,0.8677206385317152,130111,173027,109709
51,221,867,0.745098039216,136,568,0.760563380282,760,42012,0.981909930496,643,16641,0.961360495163,4431,92,47.1630434783,92586,56235,0.646412376634,17,82,0.792682926829,10,220,0.954545454545,7,2863,0.997555012225,23,11254,0.997956282211,0.8665943103474631,130834,174657,109798
52,251,884,0.716063348416,156,579,0.730569948187,860,42011,0.979529170931,719,16967,0.957623622326,4428,94,46.1063829787,92550,56652,0.633658123279,18,84,0.785714285714,10,220,0.954545454545,9,2919,0.996916752312,25,11474,0.997821160885,0.859255102969276,131884,176613,110215
53,279,901,0.690344062153,170,590,0.71186440678,952,42010,0.977338728874,809,17293,0.953218065113,4423,96,45.0729166667,92455,57124,0.618496603879,18,86,0.790697674419,11,220,0.95,11,2975,0.996302521008,26,11695,0.997776827704,0.850830889540567,132990,178625,110687
54,321,918,0.650326797386,195,601,0.675540765391,1061,42009,0.974743507344,891,17620,0.94943246311,4416,98,44.0612244898,92360,57282,0.612373869627,20,87,0.770114942529,12,220,0.945454545455,14,3031,0.995381062356,27,11916,0.997734138973,0.8465787624643076,133782,180322,110845
55,352,935,0.623529411765,226,612,0.630718954248,1155,42009,0.972505891595,973,17946,0.945781789814,4409,100,43.09,92272,57652,0.600499549018,23,89,0.741573033708,12,220,0.945454545455,15,3087,0.995140913508,28,12136,0.997692814766,0.8396940335049634,134786,182232,111215
56,399,952,0.580882352941,258,623,0.585874799358,1271,42008,0.969743858313,1060,18272,0.941987740806,4406,101,42.6237623762,92148,57959,0.589882503149,25,91,0.725274725275,13,220,0.940909090909,16,3143,0.994909322304,31,12357,0.997491300477,0.8332007132015974,135726,184079,111522
57,439,969,0.546955624355,290,635,0.543307086614,1382,42007,0.967100721308,1161,18598,0.937573932681,4403,103,41.7475728155,92042,58196,0.581586363324,29,92,0.684782608696,15,270,0.944444444444,20,3199,0.993748046264,35,12578,0.997217363651,0.8278483976962538,136647,185906,111759
58,491,986,0.502028397566,345,646,0.465944272446,1511,42006,0.964028948245,1255,18925,0.933685601057,4400,105,40.9047619048,91938,58476,0.57223476298,30,94,0.68085106383,15,320,0.953125,23,3256,0.992936117936,37,12798,0.997108923269,0.8217379298317007,137612,187777,112039
59,534,1003,0.467597208375,379,657,0.423135464231,1652,42005,0.960671348649,1350,19251,0.929873772791,4393,107,40.0560747664,91847,58810,0.561758204387,33,95,0.652631578947,17,371,0.954177897574,27,3312,0.991847826087,39,13019,0.997004378216,0.8151554497583495,138630,189701,112524
60,593,1020,0.41862745098,414,668,0.380239520958,1756,42004,0.958194457671,1447,19577,0.926086734433,4391,109,39.2844036697,91772,59117,0.55237918027,37,97,0.618556701031,20,394,0.94923857868,29,3368,0.991389548694,42,13240,0.996827794562,0.8092539793973953,139594,191571,112831
61,648,1037,0.375120540019,460,679,0.322533136966,1896,42004,0.954861441767,1567,19904,0.921272106109,4384,111,38.4954954955,91883,59466,0.545135035146,41,99,0.585858585859,20,418,0.952153110048,31,3424,0.990946261682,44,13460,0.996731054978,0.8037439012247336,140602,193485,113140
62,700,1054,0.335863377609,503,690,0.271014492754,2025,42016,0.951804074638,1676,20230,0.91715274345,4382,112,38.125,92174,59899,0.538823686539,43,100,0.57,20,441,0.954648526077,33,3480,0.990517241379,47,13681,0.996564578613,0.7987833708531223,141703,195493,113573
63,748,1071,0.301587301587,548,701,0.218259629101,2157,42029,0.948678293559,1783,20556,0.91326133489,4376,114,37.3859649123,92463,60097,0.538562657038,44,102,0.56862745098,22,465,0.952688172043,35,3536,0.990101809955,50,13902,0.996403395195,0.7968058468293435,142573,197268,113771
64,804,1088,0.261029411765,597,713,0.162692847125,2316,42042,0.944912230627,1908,20883,0.90863381698,4368,116,36.6551724138,92776,60285,0.538956622709,47,104,0.548076923077,26,488,0.946721311475,37,3592,0.989699331849,52,14122,0.996317802011,0.7947125138566439,143433,199034,113959
65,858,1105,0.223529411765,658,724,0.0911602209945,2451,42055,0.941719177268,2056,21209,0.903060021689,4365,118,35.9915254237,92809,60752,0.527669870951,50,105,0.52380952381,26,512,0.94921875,39,3649,0.989312140312,55,14343,0.996165376839,0.7872409595218991,144572,201079,114567
66,890,1122,0.206773618538,704,735,0.0421768707483,2606,42068,0.938052676619,2170,21535,0.899233805433,4358,120,35.3166666667,92712,61055,0.518499713373,52,107,0.514018691589,26,513,0.949317738791,44,3705,0.988124156545,58,14564,0.996017577589,0.7812731920507957,145524,202937,114870
67,947,1139,0.168568920105,744,746,0.00268096514745,2758,42081,0.934459732421,2287,21861,0.895384474635,4352,121,34.9669421488,92623,61336,0.510091952524,56,108,0.481481481481,28,514,0.945525291829,49,3761,0.98697155012,62,14784,0.995806277056,0.7755563294207619,146451,204771,115151
68,1006,1156,0.129757785467,789,757,0.0422721268164,2907,42094,0.930940276524,2420,22188,0.890932035334,4349,123,34.3577235772,92529,61721,0.499149398098,58,110,0.472727272727,31,516,0.93992248062,53,3817,0.986114749804,65,15005,0.99566811063,0.7689626882369294,147487,206713,115536
69,1068,1173,0.0895140664962,847,768,0.102864583333,3042,42107,0.927755480086,2527,22514,0.887758727903,4344,125,33.752,92425,62043,0.489692632529,61,112,0.455357142857,32,517,0.938104448743,59,3873,0.98476633101,68,15226,0.995533955077,0.7634819275485323,148458,208590,115858
70,1141,1189,0.040370058873,890,779,0.142490372272,3203,42120,0.923955365622,2663,22840,0.883406304729,4343,127,33.1968503937,92340,62434,0.479001825928,62,113,0.451327433628,34,518,0.934362934363,65,3929,0.983456350216,70,15446,0.995468082351,0.7568815010535469,149495,210533,116249
71,1198,1207,0.00745650372825,944,791,0.193426042984,3356,42133,0.920347471103,2789,23167,0.879613242975,4334,129,32.5968992248,92252,62679,0.471816716923,69,115,0.4,35,520,0.932692307692,69,3985,0.982685069009,74,15667,0.995276696241,0.7522624058300585,150393,212336,116502
72,1258,1224,0.0277777777778,991,802,0.23566084788,3506,42146,0.916812983439,2955,23493,0.874217852126,4332,131,32.0687022901,92169,62855,0.466374990056,69,117,0.410256410256,37,692,0.946531791908,72,4042,0.982187036121,77,15888,0.995153575025,0.749058722504789,151390,214238,137039
73,1334,1241,0.074939564867,1049,813,0.290282902829,3667,42214,0.913133083811,3096,23819,0.870019732147,4327,132,31.7803030303,92091,63106,0.45930656356,70,117,0.401709401709,38,705,0.94609929078,79,3952,0.980010121457,78,16223,0.995192011342,0.745204238389727,152322,216077,137358
74,1398,1258,0.111287758347,1105,824,0.341019417476,3850,42232,0.908836900928,3250,24146,0.865402137,4322,134,31.2537313433,92003,63257,0.454431920578,75,117,0.358974358974,41,719,0.94297635605,84,3863,0.97825524204,81,16558,0.995108104844,0.7420187057501894,153108,217769,137527
75,1479,1275,0.16,1158,835,0.386826347305,4010,42310,0.905223351454,3397,24472,0.861188296829,4319,136,30.7573529412,91906,63637,0.44422270063,78,117,0.333333333333,43,732,0.941256830601,89,3773,0.976411343758,87,16893,0.994849937844,0.7366195356077312,154180,219747,137985
76,1536,1292,0.188854489164,1218,846,0.439716312057,4177,42318,0.901294957229,3535,24798,0.857448181305,4313,138,30.2536231884,91813,63783,0.43945878996,82,117,0.299145299145,45,746,0.939678284182,93,3684,0.974755700326,90,17229,0.994776249347,0.7337222734929106,154951,221424,138131
77,1595,1309,0.218487394958,1268,857,0.479579929988,4331,42326,0.897675187828,3663,25124,0.854203152364,4306,140,29.7571428571,91727,64035,0.432451003358,83,117,0.290598290598,48,759,0.936758893281,101,3595,0.9719054242,95,17564,0.994591209292,0.7297819362622412,155826,223205,138383
78,1684,1326,0.269984917044,1334,869,0.535097813579,4547,42334,0.892592242642,3824,25451,0.849750500963,4303,142,29.3028169014,91916,64346,0.428464861841,85,117,0.273504273504,50,773,0.93531694696,106,3505,0.969757489301,99,17899,0.994468964747,0.72671948558962,156762,225048,138694
79,1753,1343,0.305286671631,1381,880,0.569318181818,4715,42343,0.888647474199,3982,25777,0.845521201071,4297,143,29.048951049,92312,64483,0.431571111766,90,117,0.230769230769,55,786,0.930025445293,116,3416,0.966042154567,103,18234,0.994351212021,0.72692068409492,157522,226714,138864
80,1841,1360,0.353676470588,1443,891,0.619528619529,4896,42357,0.884411077272,4161,26103,0.840593035283,4295,145,28.6206896552,92725,64958,0.427460820838,92,117,0.213675213675,56,800,0.93,123,3327,0.963029756537,108,18570,0.994184168013,0.7236301283506065,158628,228726,141414
81,1919,1377,0.39360929557,1522,902,0.687361419069,5078,42371,0.880153878832,4327,26430,0.836284525161,4291,147,28.1904761905,93150,65270,0.427148766662,95,104,0.0865384615385,58,1103,0.947416137806,127,3327,0.961827472197,111,19083,0.994183304512,0.723284659679978,160114,231117,141754
82,1998,1394,0.433285509326,1585,913,0.736035049288,5287,42394,0.875288955984,4491,26756,0.832149798176,4286,149,27.7651006711,93216,65644,0.420023155201,100,92,0.0869565217391,61,1407,0.956645344705,133,3327,0.960024045687,114,19596,0.994182486222,0.7198958384878025,161672,233581,142128
83,2071,1411,0.467753366407,1648,924,0.78354978355,5474,42417,0.870947968975,4647,27082,0.828410014031,4284,151,27.3708609272,93138,65778,0.415944540728,105,80,0.3125,65,1710,0.961988304094,144,3327,0.956717763751,122,20109,0.993933064797,0.718422715643387,162989,235804,142262
84,2156,1428,0.509803921569,1707,935,0.825668449198,5657,42440,0.866705937795,4813,27408,0.82439433742,4280,152,27.1578947368,93054,66149,0.40673328395,107,68,0.573529411765,66,2014,0.96722939424,153,3327,0.954012623986,124,20622,0.99398700417,0.7145244708070231,164543,238265,145850
85,2234,1445,0.546020761246,1776,947,0.875395987328,5848,42463,0.862280102678,4988,27735,0.82015503876,4277,154,26.7727272727,92960,66442,0.399115017609,109,68,0.602941176471,70,2192,0.968065693431,160,3327,0.95190862639,131,21716,0.993967581507,0.7119749653130237,166489,241117,146143
86,2310,1462,0.580027359781,1846,958,0.926931106472,6032,42486,0.858023819611,5165,28061,0.815936709312,4271,156,26.3782051282,92859,66631,0.393630592367,112,68,0.647058823529,74,2371,0.968789540278,172,3327,0.948301773369,137,22810,0.993993862341,0.7104972375690608,168330,243864,146332
87,2382,1479,0.610547667343,1899,969,0.959752321981,6224,42509,0.853583946929,5321,28387,0.812555042801,4267,158,26.0063291139,92784,66917,0.386553491639,115,68,0.691176470588,80,2549,0.968615143193,180,3327,0.945897204689,141,23904,0.994101405622,0.7082170943283196,170267,246707,149900
88,2484,1496,0.660427807487,1972,980,1.01224489796,6427,42532,0.848890247343,5484,28714,0.809013025005,4266,160,25.6625,92701,67196,0.37956128341,119,68,0.75,86,2728,0.968475073314,188,3327,0.943492636008,143,24723,0.994215912308,0.705765338172681,171924,249270,150179
89,2567,1513,0.696629213483,2045,991,1.06357214934,6620,42555,0.844436611444,5656,29040,0.80523415978,4261,162,25.3024691358,92609,67553,0.37090876793,126,68,0.852941176471,88,2906,0.969717825189,198,3327,0.940486925158,147,25542,0.994244773315,0.702430653529659,173657,251910,213142
90,2672,1530,0.746405228758,2120,1002,1.11576846307,6829,42578,0.8396120062,5853,29366,0.800687870326,4256,163,25.1104294479,92503,68026,0.359818304766,131,68,0.926470588235,92,3085,0.97017828201,207,3327,0.937781785392,149,26361,0.994347710633,0.6978678791608264,175506,254430,213615
91,2748,1547,0.776341305753,2201,1013,1.17275419546,7018,42601,0.83526208305,6040,29693,0.796585053716,4250,165,24.7575757576,92424,68307,0.353067767579,136,68,1.0,93,3264,0.971507352941,215,3327,0.935377216712,154,27180,0.994334069169,0.6954195241723817,177165,256761,218422
92,2837,1564,0.813938618926,2290,1025,1.23414634146,7244,42624,0.830048798799,6218,30019,0.792864519138,4245,167,24.4191616766,92325,68636,0.345139576898,137,68,1.01470588235,94,3522,0.973310618966,225,3327,0.932371505861,166,27901,0.994050392459,0.6923003807596182,178853,259121,218751
93,2924,1581,0.849462365591,2379,1036,1.29633204633,7440,42647,0.825544586958,6431,30345,0.788070522327,4242,169,24.100591716,92243,69066,0.33557756349,140,68,1.05882352941,99,3781,0.973816450674,236,3327,0.929065223925,180,28622,0.993711131298,0.6883449031786628,180642,261582,219181
94,3003,1598,0.879224030038,2455,1047,1.34479465138,7661,42671,0.820463546671,6610,30671,0.784486974667,4234,171,23.7602339181,92155,69421,0.327480157301,146,68,1.14705882353,102,4040,0.974752475248,241,3327,0.9275623685,185,29344,0.993695474373,0.6851467991533138,182358,263970,221700
95,3108,1615,0.924458204334,2562,1058,1.42155009452,7874,42694,0.815571274652,6804,30998,0.780501967869,4233,172,23.6104651163,92059,69645,0.321832148754,148,68,1.17647058824,109,4299,0.974645266341,250,3327,0.924857228735,187,29236,0.993603776166,0.6819979029228014,183112,265397,221924
96,3198,1632,0.959558823529,2655,1069,1.48362956034,8106,42717,0.81023948311,6998,31324,0.77659302771,4225,174,23.2816091954,91985,70157,0.311130749604,155,68,1.27941176471,112,4558,0.975427819219,258,3327,0.922452660054,197,29129,0.993236980329,0.676071787353045,184155,267112,222436
97,3300,1649,1.00121285628,2721,1080,1.51944444444,8346,42740,0.804726251755,7196,31650,0.772638230648,4221,176,22.9829545455,91902,70527,0.303075417925,158,68,1.32352941176,119,4816,0.975290697674,274,3327,0.917643522693,201,29022,0.993074219558,0.6712652995055524,185055,268684,222806
98,3413,1665,1.04984984985,2826,1091,1.59028414299,8584,42763,0.799265720366,7396,31977,0.768708759421,4219,178,22.702247191,91815,70903,0.294938154944,163,68,1.39705882353,121,5075,0.976157635468,280,3327,0.915840096183,210,28914,0.992737082382,0.6667849710423154,185961,270262,223182
99,3498,1683,1.07843137255,2922,1103,1.6491387126,8811,42786,0.794068153134,7562,32303,0.765904095595,4215,180,22.4166666667,91729,71429,0.28419829481,167,68,1.45588235294,126,5334,0.976377952756,297,3327,0.910730387737,213,28807,0.992605963828,0.6609774355683884,187020,271993,223708
100,3604,1700,1.12,3009,1114,1.70107719928,9024,42809,0.789203204934,7760,32629,0.762174752521,4209,182,22.1263736264,92031,71819,0.281429705231,170,68,1.5,128,5593,0.977114249955,304,3327,0.908626390141,222,28700,0.992264808362,0.6585045306771806,187941,273587,224098
101,3718,1717,1.16540477577,3098,1125,1.75377777778,9251,42832,0.784016623086,7967,32956,0.758253428814,4204,183,21.9726775956,92594,72220,0.282110218776,179,68,1.63235294118,132,5852,0.977443609023,317,3327,0.904718966035,228,28593,0.992026020355,0.6572935252788911,188873,275191,226336
