Day,Akobo - Nahr_Atiem,Awarajwok - Tonga,Awarajwok - Kodok,Ayod - Waw,Baleit - Padok,Baleit - Gel_Achel,Bor - Makol_Cuei,Bunj - Doro,Burbiey - Mayot,Burbiey - Akobo,Burbiey - Kule,Burbiey - Tierkidi,Dentoang - Malut,Duk_Fadiat - Yuai,Duk_Fadiat - Ayod,Duk_Faiwil - Pajut,Duk_Faiwil - Duk_Fadiat,El-galhak - Renk,Gadiang - Akobo,Gadiang - Kongettit,Gel_Achel - Nasir,Jalle - Panyagor,Kaka - Wadakona,Kaljak - Atar,Khor_Adar - Kaka,Kodok - Khor_Adar,Kongettit - Pibor,Maban - Liang,Maban - Bunj,Maban - Doro,Mabior_Canal - Duk_Faiwil,Mabior_Canal - Duk_Fadiat,Makol_Cuei - Jalle,Malakal - Baleit,Malakal - Padok,Malut - El-galhak,Malut - Maban,Mayot - Pagak,Mayot - Multhiang,Nahr_Atiem - Pibor,Nahr_Atiem - Pugnido,Nasir - Burbiey,Nasir - Akobo,Ofyo - Malakal,Ofyo - Atar,Owachi - Awarajwok,Padok - Dentoang,Pagak - Wanke,Pagak - Tierkidi,Pagak - Kule,Pagak - Nguenyyiel,Pagak - Maiwut,Pajut - Yuai,Pajut - Gadiang,Panyagor - Mabior_Canal,Panyikang - Wau_Shilluk,Pentin - Raad,Pibor - Pochalla,Pieri - Pulchuol,Pochalla - Pentin,Pulchuol - Walgak,Raad - Okugo,Renk - Doro,Tierkidi - Nguenyyiel,Tierkidi - Kule,Tonga - Malakal,Walgak - Waat,Walgak - Akobo,Wau_Shilluk - Owachi,Waw - Ofyo,Waw - Kaljak,Yuai - Gadiang,Yuai - Pieri,Yuai - Pulchuol
253,0.014618039,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0,0.014618039,0.014618039,0.0041760504,0.0041760504,0.0,0.0020861626,0.0020861626,0.0020861626,0.0020861626,0.0,0.0020861626,0.0020861626,0.0,0.007305294300000001,0.0,0.0,0.0,0.0,0.0052191317,0.0,0.0,0.0,0.0020861626,0.0020861626,0.007305294300000001,0.0,0.0,0.0,0.0,0.0041760504,0.0,0.0041760504,0.0041760504,0.014618039,0.014618039,0.0,0.0,0.0,0.0,0.0041760504,0.0041760504,0.0041760504,0.0041760504,0.0041760504,0.0020861626,0.0020861626,0.007305294300000001,0.0,0.22138655,0.0020861626,0.0020861626,0.0020861626,0.0020861626,0.0010430813,0.0,0.0041760504,0.0041760504,0.0,0.0020861626,0.014618039,0.0,0.0,0.0,0.0020861626,0.0020861626,0.0020861626
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10861084,0.10861084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10861084,0.0,0.10861084,0.10861084,0.0,0.0,0.0,0.0,0.0,0.0,0.10861084,0.10861084,0.10861084,0.10861084,0.10861084,0.0,0.0,0.0,0.0,0.054303557,0.0,0.0,0.0,0.0,0.0,0.0,0.10861084,0.10861084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,0.004172325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004172325,0.004172325,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0,0.0010430813,0.0010430813,0.004172325,0.004172325,0.0,0.0,0.0,0.0,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020861626,0.0,0.0010430813,0.0010430813,0.0,0.0,0.004172325,0.0,0.0,0.0,0.0,0.0,0.0
257,0.099208206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099208206,0.099208206,0.020880252,0.020880252,0.0,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0,0.0010430813,0.0010430813,0.0,0.06265193,0.0,0.0,0.0,0.0,0.4459247,0.0,0.0,0.0,0.0010430813,0.0010430813,0.06265193,0.0,0.0,0.0,0.0010430813,0.020880252,0.0020861626,0.020880252,0.020880252,0.099208206,0.099208206,0.0,0.0,0.0,0.0,0.020880252,0.020880252,0.020880252,0.020880252,0.020880252,0.0010430813,0.0010430813,0.06265193,0.0,2.2912881,1.0673032,0.0010430813,1.0673032,0.0010430813,0.23705885,0.0,0.020880252,0.020880252,0.0,0.0010430813,0.099208206,0.0,0.0,0.0,0.0010430813,0.0010430813,0.0010430813
258,0.80309063,0.0,0.11173636,0.08354708599999999,0.11173636,0.020880252,0.12531504,0.029239803999999998,0.80309063,0.80309063,0.06996468,0.06996468,0.11173636,0.14619902,0.14619902,0.14619902,0.14619902,0.027149916,0.14619902,0.14619902,0.12635812,0.14724955,0.061612575999999995,0.0,0.11173636,0.11173636,0.38222224,0.029239803999999998,0.029239803999999998,0.029239803999999998,0.14619902,0.14619902,0.14724955,0.020880252,0.11173636,0.027149916,0.14724582,0.06996468,0.009398907,0.06996468,0.06996468,0.80309063,0.80309063,0.020880252,0.020880252,0.11173636,0.11173636,0.06996468,0.06996468,0.06996468,0.06996468,0.06996468,0.14619902,0.14619902,0.14724955,0.0,5.692728,0.40936469999999997,0.14619902,0.40936469999999997,0.14619902,0.14411286,0.027149916,0.06996468,0.06996468,0.0,0.14619902,0.80309063,0.0,0.0,0.0,0.14619902,0.14619902,0.14619902
259,0.0,0.0052191317,0.013574958,0.0,0.013574958,0.0,0.0,0.0,0.0,0.0,0.057436525999999995,0.057436525999999995,0.013574958,0.063702464,0.063702464,0.063702464,0.063702464,0.2642162,0.063702464,0.063702464,0.0,0.0,0.23914501,0.0,0.013574958,0.013574958,0.0,0.0,0.0,0.0,0.063702464,0.063702464,0.0,0.0,0.013574958,0.2642162,0.0,0.057436525999999995,0.031325966000000004,0.057436525999999995,0.057436525999999995,0.0,0.0,0.0,0.0,0.013574958,0.013574958,0.057436525999999995,0.057436525999999995,0.057436525999999995,0.057436525999999995,0.057436525999999995,0.063702464,0.063702464,0.0,0.0052191317,0.10129437,0.020876527,0.063702464,0.020876527,0.063702464,0.006265938299999999,0.2642162,0.057436525999999995,0.057436525999999995,0.0052191317,0.063702464,0.0,0.0052191317,0.0,0.0,0.063702464,0.063702464,0.063702464
260,0.0,0.0,0.0,0.0,0.0,0.0,0.2339147,0.0,0.0,0.0,0.03027916,0.03027916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06369874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03027916,0.0,0.03027916,0.03027916,0.0,0.0,0.0,0.0,0.0,0.0,0.03027916,0.03027916,0.03027916,0.03027916,0.03027916,0.0,0.0,0.0,0.0,2.4427214,0.69761646,0.0,0.69761646,0.0,0.09294227,0.0,0.03027916,0.03027916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.049076974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039681792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940945,0.068921596,0.0,0.068921596,0.0,6.4582375999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.021930784,0.0,0.01148507,0.0,0.056393445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15560165,0.0,0.0,0.018797815,0.0,0.0,0.034458935,0.0,0.0,0.8751638,0.056393445,0.056393445,0.056393445,0.0,0.0,0.0,0.01148507,0.0,0.15560165,0.007309019599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.01148507,0.01148507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18692389,0.0010430813,0.0,0.0010430813,0.0,7.495284,0.15560165,0.0,0.0,0.0,0.0,0.0,0.0,0.034458935,0.034458935,0.0,0.0,0.0
263,0.0031329691,0.88456273,0.0,0.0,0.0,0.0,0.3132969,0.006262213000000001,0.0031329691,0.0031329691,0.058479607,0.058479607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17231703,0.010441989,0.0,0.0,0.0,0.006262213000000001,0.006262213000000001,0.006262213000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058479607,0.0052191317,0.058479607,0.058479607,0.0031329691,0.0031329691,0.0,0.0,0.0,0.0,0.058479607,0.058479607,0.058479607,0.058479607,0.058479607,0.0,0.0,0.0,0.88456273,1.4881826999999999,0.0,0.0,0.0,0.0,2.4656951,0.0,0.058479607,0.058479607,0.88456273,0.0,0.0031329691,0.88456273,0.010441989,0.010441989,0.0,0.0,0.0
264,0.039685517999999996,0.0,0.0,0.0,0.0,0.0,0.049076974,0.0052191317,0.039685517999999996,0.039685517999999996,1.4871359,1.4871359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04594773,0.0052191317,0.0052191317,0.0052191317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4871359,2.4489946,1.4871359,1.4871359,0.039685517999999996,0.039685517999999996,0.0,0.0,0.0,0.0,1.4871359,1.4871359,1.4871359,1.4871359,1.4871359,0.0,0.0,0.0,0.0,1.9665061999999998,1.1226572,0.0,1.1226572,0.0,2.9565394,0.0,1.4871359,1.4871359,0.0,0.0,0.039685517999999996,0.0,0.0,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0,0.18379092,0.0,0.0,0.0,0.049076974,0.049076974,0.0,0.0041760504,0.0041760504,0.0041760504,0.0041760504,0.0,0.0041760504,0.0041760504,0.0,0.13992935,0.0,0.010441989,0.0,0.0,0.6255433000000001,0.0,0.0,0.0,0.0041760504,0.0041760504,0.13992935,0.0,0.0,0.0,0.0,0.049076974,0.0,0.049076974,0.049076974,0.0,0.0,0.0,0.0,0.0,0.0,0.049076974,0.049076974,0.049076974,0.049076974,0.049076974,0.0041760504,0.0041760504,0.13992935,0.0,1.9748508999999999,0.20780414,0.0041760504,0.20780414,0.0041760504,3.04427,0.0,0.049076974,0.049076974,0.0,0.0041760504,0.0,0.0,0.010441989,0.010441989,0.0041760504,0.0041760504,0.0041760504
266,0.0,0.0,0.0,0.0,0.0,0.067878515,0.030282885,0.0,0.0,0.0,0.04177168,0.04177168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01148507,0.0,0.0,0.014618039,0.0,0.0,0.0,0.0,0.0,0.0,0.067878515,0.0,0.0,0.0,0.04177168,0.0,0.04177168,0.04177168,0.0,0.0,0.067878515,0.067878515,0.0,0.0,0.04177168,0.04177168,0.04177168,0.04177168,0.04177168,0.0,0.0,0.0,0.0,0.6923899,0.13262779,0.0,0.13262779,0.0,1.8672943,0.0,0.04177168,0.04177168,0.0,0.0,0.0,0.0,0.01148507,0.01148507,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0,0.0,0.0,0.0,0.009395182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9289068999999999,0.0,0.0,0.0,0.0,0.55558234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.055350363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6844572999999996,0.6182491999999999,0.0,0.6182491999999999,0.0,1.4505833000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0,0.0,0.0,3.1622796,0.0,0.0,0.0,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011477619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,2.3163595,0.75506043,0.0,0.75506043,0.0,2.3664758,0.0,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0,0.5117096,0.0,0.0,0.0,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,1.3440698,0.29971823,0.0,0.29971823,0.0,6.898966000000001,0.0,0.0010430813,0.0010430813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
