Time  Nakivale comparison Error
89 2519 10474.0 0.759499713576
90 2585 10480.0 0.753339694656
91 2629 10489.0 0.749356468681
92 2671 10498.0 0.745570584873
93 2716 10507.0 0.741505662891
94 2755 10516.0 0.738018257893
95 2795 10525.0 0.734441805226
96 2825 10535.0 0.731846226863
97 2870 10527.0 0.727367721098
98 2930 10519.0 0.721456412206
99 2973 10511.0 0.717153458282
100 3006 10504.0 0.713823305407
101 3048 10496.0 0.709603658537
102 3098 10488.0 0.704614797864
103 3155 10481.0 0.698979105047
104 3216 10473.0 0.69292466342
105 3274 10465.0 0.687147634974
106 3334 10458.0 0.681200994454
107 3364 10450.0 0.678086124402
108 3419 10442.0 0.672572304156
109 3476 10435.0 0.666890273119
110 3518 10432.0 0.662768404908
111 3588 10430.0 0.655992329818
112 3627 10428.0 0.652186421174
113 3668 10426.0 0.648187224247
114 3720 10424.0 0.64313123561
115 3770 10422.0 0.638265208213
116 3815 10420.0 0.633877159309
117 3875 10441.0 0.628866966766
118 3912 10462.0 0.626075320206
119 3975 10483.0 0.620814652294
120 4021 10504.0 0.617193450114
121 4069 10525.0 0.613396674584
122 4122 10546.0 0.609140906505
123 4172 10567.0 0.605185956279
124 4217 10588.0 0.601718927087
125 4263 10610.0 0.598209236569
126 4305 10618.0 0.594556413637
127 4375 10626.0 0.588274044796
128 4424 10634.0 0.583975926274
129 4468 10642.0 0.580154106371
130 4526 10650.0 0.575023474178
131 4571 10658.0 0.571120285232
132 4614 10666.0 0.567410463154
133 4665 10674.0 0.562956717257
134 4705 10682.0 0.559539412095
135 4755 10690.0 0.555191768007
136 4801 10698.0 0.551224527949
137 4852 10706.0 0.546796189053
138 4915 10734.0 0.542109185765
139 4965 10763.0 0.538697389204
140 5008 10792.0 0.53595255745
141 5072 10820.0 0.53123844732
142 5126 10849.0 0.527514056595
143 5168 10878.0 0.52491266777
144 5231 10907.0 0.520399743284
145 5273 10929.0 0.517522188672
146 5315 10952.0 0.514700511322
147 5338 10974.0 0.513577546929
148 5397 10997.0 0.509229789943
149 5454 11019.0 0.505036754696
150 5484 11042.0 0.503350842239
151 5526 11064.0 0.500542299349
152 5568 11087.0 0.497790204744
153 5611 11110.0 0.49495949595
154 5675 11149.0 0.490985738631
155 5706 11189.0 0.490034855662
156 5771 11229.0 0.486062872918
157 5805 11269.0 0.484869997338
158 5842 11309.0 0.483420284729
159 5893 11325.0 0.479646799117
160 5954 11342.0 0.475048492329
161 5996 11359.0 0.472136631746
162 6039 11376.0 0.46914556962
163 6098 11393.0 0.464759062582
164 6123 11410.0 0.463365468887
165 6174 11427.0 0.459700708847
166 6213 11456.0 0.457664106145
167 6276 11486.0 0.453595681699
168 6316 11516.0 0.451545675582
169 6350 11546.0 0.450025983024
170 6398 11576.0 0.447304768487
171 6444 11606.0 0.444769946579
172 6475 11636.0 0.443537298041
173 6501 11665.0 0.442691813116
174 6549 11695.0 0.440017101325
175 6598 11725.0 0.437270788913
176 6645 11755.0 0.434708634624
177 6706 11785.0 0.430971574035
178 6747 11815.0 0.428946254761
179 6792 11845.0 0.426593499367
180 6808 11851.0 0.425533710235
181 6854 11858.0 0.421993590825
182 6899 11864.0 0.418492919757
183 6962 11871.0 0.413528767585
184 7004 11877.0 0.410288793466
185 7052 11884.0 0.406597105352
186 7092 11891.0 0.403582541418
187 7156 11913.0 0.39931167632
188 7204 11936.0 0.39644772118
189 7246 11959.0 0.394096496363
190 7290 11982.0 0.391587381072
191 7312 12005.0 0.390920449813
192 7344 12028.0 0.389424675757
193 7386 12051.0 0.387104804581
194 7426 12081.0 0.385315785117
195 7466 12112.0 0.38358652576
196 7507 12142.0 0.3817328282
197 7561 12173.0 0.378871272488
198 7628 12203.0 0.374907809555
199 7677 12234.0 0.372486512997
200 7723 12265.0 0.370322054627
201 7758 12303.0 0.369422092173
202 7789 12341.0 0.36885179483
203 7828 12379.0 0.367638743033
204 7859 12417.0 0.367077393895
205 7887 12455.0 0.366760337214
206 7915 12493.0 0.366445209317
207 7958 12531.0 0.364934961296
208 8000 12569.0 0.363513405999
209 8046 12607.0 0.361783136353
210 8093 12645.0 0.359984183472
211 8140 12683.0 0.358196010408
212 8182 12721.0 0.356811571417
213 8237 12759.0 0.354416490321
214 8287 12798.0 0.352476949523
215 8311 12817.0 0.351564328626
216 8371 12837.0 0.347900599829
217 8428 12857.0 0.344481605351
218 8466 12877.0 0.342548730294
219 8502 12896.0 0.340725806452
220 8528 12916.0 0.339733663673
221 8574 12936.0 0.33719851577
222 8607 12956.0 0.335674590923
223 8629 12976.0 0.335003082614
224 8673 13014.0 0.333563854311
225 8716 13052.0 0.332209623046
226 8771 13090.0 0.329946524064
227 8809 13128.0 0.328991468617
228 8851 13166.0 0.327738113322
229 8849 13204.0 0.329824295668
230 8889 13237.0 0.328473219007
231 8951 13270.0 0.325470987189
232 8984 13303.0 0.324663609712
233 9055 13336.0 0.32101079784
234 9121 13369.0 0.3177500187
235 9147 13402.0 0.317489926877
236 9175 13435.0 0.31708224786
237 9212 13468.0 0.316008316008
238 9240 13501.0 0.315606251389
239 9299 13534.0 0.31291561992
240 9340 13567.0 0.311564826417
241 9407 13600.0 0.308308823529
242 9457 13633.0 0.306315557838
243 9473 13666.0 0.30681984487
244 9523 13699.0 0.304839769326
245 9591 13732.0 0.301558403729
246 9640 13765.0 0.299673083908
247 9666 13798.0 0.29946369039
248 9697 13831.0 0.298893789314
249 9737 13864.0 0.297677437969
250 9795 13902.0 0.295425118688
251 9823 13940.0 0.295337159254
252 9856 13978.0 0.294891973101
253 9907 14017.0 0.293215381323
254 9933 14055.0 0.293276414088
255 9968 14093.0 0.292698502803
256 9998 14131.0 0.292477531668
257 10030 14170.0 0.292166549047
258 10093 14245.0 0.291470691471
259 10124 14320.0 0.293016759777
260 10178 14396.0 0.292998055015
261 10182 14471.0 0.296385875199
262 10210 14546.0 0.298088821669
263 10228 14622.0 0.300506086719
264 10266 14678.0 0.300585910887
265 10322 14734.0 0.299443464097
266 10375 14790.0 0.298512508452
267 10404 14846.0 0.299205173111
268 10421 14903.0 0.30074481648
269 10466 14959.0 0.300354301758
270 10465 15015.0 0.30303030303
271 10504 15071.0 0.303032313715
272 10531 15128.0 0.303873611846
273 10572 15168.0 0.303006329114
274 10595 15208.0 0.303327196213
275 10617 15248.0 0.303711962225
276 10631 15289.0 0.30466348355
277 10652 15329.0 0.305107965295
278 10685 15369.0 0.304769340881
279 10714 15410.0 0.304737183647
280 10776 15504.0 0.304953560372
281 10858 15599.0 0.303929739086
282 10898 15693.0 0.305550245332
283 10951 15788.0 0.306371928047
284 10990 15883.0 0.308065226972
285 11032 15914.0 0.306773909765
286 11103 15945.0 0.303668861712
287 11156 15976.0 0.301702553831
288 11164 16007.0 0.30255513213
289 11206 16038.0 0.301284449433
290 11225 16069.0 0.301449996888
291 11206 16100.0 0.30397515528
292 11250 16132.0 0.30262831639
293 11284 16163.0 0.301862278042
294 11300 16194.0 0.302210695319
295 11339 16225.0 0.301140215716
296 11395 16256.0 0.299028051181
297 11406 16287.0 0.299686866826
298 11433 16318.0 0.299362666994
299 11451 16350.0 0.299633027523
300 11494 16413.0 0.299701456163
301 11551 16476.0 0.298919640689
302 11588 16540.0 0.299395405079
303 11614 16603.0 0.300487863639
304 11634 16666.0 0.301932077283
305 11644 16730.0 0.304004781829
306 11669 16793.0 0.305127136307
307 11705 16857.0 0.305629708726
308 11752 16921.0 0.305478399622
309 11814 16985.0 0.304445098616
310 11860 17049.0 0.304358026864
311 11884 17113.0 0.305557178753
312 11942 17177.0 0.304768003726
313 11977 17255.0 0.305882352941
314 12009 17333.0 0.307159753072
315 12061 17411.0 0.307277008788
316 12122 17490.0 0.306918238994
317 12150 17568.0 0.308401639344
318 12200 17646.0 0.308625184178
319 12226 17725.0 0.31023977433
320 12250 17748.0 0.309781383818
321 12290 17771.0 0.308423836588
322 12323 17795.0 0.307502107334
323 12326 17818.0 0.308227634976
324 12380 17841.0 0.306092707808
325 12414 17865.0 0.305121746432
326 12436 17888.0 0.304785330948
327 12473 17911.0 0.303612305287
328 12509 17935.0 0.302536938946
329 12521 17958.0 0.302762000223
330 12567 17981.0 0.301095600912
331 12588 18005.0 0.30086087198
332 12635 18028.0 0.299145773242
333 12666 18052.0 0.298360292488
334 12676 18084.0 0.29904888299
335 12669 18117.0 0.300712038417
336 12705 18150.0 0.3
337 12741 18182.0 0.29925200748
338 12794 18215.0 0.297611858358
339 12847 18248.0 0.295977641385
340 12877 18281.0 0.295607461299
341 12919 18313.0 0.294544858843
342 12946 18346.0 0.294342090919
343 12975 18379.0 0.294031231297
344 12992 18411.0 0.294334908479
345 13007 18444.0 0.294784211668
346 13029 18477.0 0.294853060562
347 13097 18510.0 0.2924365208
348 13134 18510.0 0.290437601297
349 13133 18510.0 0.290491626148
350 13173 18510.0 0.288330632091
351 13224 18510.0 0.285575364668
352 13263 18510.0 0.283468395462
353 13272 18510.0 0.282982171799
354 13302 18510.0 0.281361426256
355 13346 18367.0 0.273370719225
356 13374 18224.0 0.266132572432
357 13406 18082.0 0.258599712421
358 13452 17939.0 0.250125425052
359 13469 17797.0 0.243187053998
360 13475 17654.0 0.236716891356
361 13526 17512.0 0.227615349475
362 13537 17521.0 0.227384281719
363 13531 17531.0 0.228167246592
364 13564 17540.0 0.226681870011
365 13597 17550.0 0.225242165242
366 13611 17559.0 0.224841961387
367 13651 17569.0 0.223006431783
368 13656 17578.0 0.223119808852
369 13710 17588.0 0.22049124403
370 13762 17597.0 0.217934875263
371 13807 17607.0 0.215823252116
372 13836 17616.0 0.214577656676
373 13871 17626.0 0.213037558153
374 13946 17635.0 0.209186277289
375 14002 17645.0 0.206460753755
376 14027 17654.0 0.205449189985
377 14070 17664.0 0.203464673913
378 14125 17673.0 0.200758218752
379 14153 17683.0 0.199626760165
380 14222 17692.0 0.196133845806
381 14249 17702.0 0.195062704779
382 14265 17712.0 0.194613821138
383 14279 17754.0 0.195730539597
384 14301 17796.0 0.196392447741
385 14330 17838.0 0.196658818253
386 14355 17880.0 0.197147651007
387 14374 17922.0 0.197968976677
388 14400 17964.0 0.198396793587
389 14449 18007.0 0.197589826179
390 14498 18041.0 0.196386009645
391 14554 18076.0 0.194843992034
392 14549 18110.0 0.196631695196
393 14562 18145.0 0.197464866354
394 14577 18180.0 0.198184818482
395 14614 18214.0 0.197650159218
