Time  Nyarugusu comparison Error
167 19032 99026.0 0.807808050411
168 19123 98744.0 0.806337600259
169 19231 98463.0 0.804688055412
170 19313 98181.0 0.803291879284
171 19414 97900.0 0.801695607763
172 19465 97618.0 0.800600299125
173 19545 97337.0 0.799202769759
174 19592 97055.0 0.798135078049
175 19682 96774.0 0.796618926571
176 19754 96492.0 0.795278365046
177 19823 96211.0 0.793963268233
178 19909 95929.0 0.792461091015
179 19967 95648.0 0.791244981599
180 20057 95366.0 0.789683954449
181 20130 95085.0 0.788294683704
182 20251 94803.0 0.786388616394
183 20329 94522.0 0.784928376463
184 20441 94240.0 0.783096349745
185 20547 93959.0 0.781319511702
186 20643 93677.0 0.779636410218
187 20727 93396.0 0.778074007452
188 20852 93114.0 0.776059454003
189 20941 92833.0 0.774422888413
190 21036 92551.0 0.772709100928
191 21117 92270.0 0.771139048445
192 21203 91988.0 0.76950254381
193 21319 91707.0 0.767531377103
194 21438 91356.0 0.765335610141
195 21537 91006.0 0.763345273938
196 21625 90656.0 0.761460907166
197 21721 90305.0 0.759470682686
198 21787 89955.0 0.757801122784
199 21847 89605.0 0.756185480721
200 21937 89254.0 0.75421829834
201 21991 88904.0 0.752643300639
202 22069 88554.0 0.750784831854
203 22123 88354.0 0.749609525319
204 22217 88155.0 0.747977993307
205 22274 87955.0 0.746756864306
206 22355 87756.0 0.74525958339
207 22395 87556.0 0.744220841519
208 22505 87357.0 0.742378973637
209 22591 87158.0 0.740804057
210 22639 87009.0 0.739808525555
211 22669 86860.0 0.739016808658
212 22750 86712.0 0.737637235907
213 22846 86563.0 0.73607661472
214 22883 86415.0 0.735196435804
215 22936 86474.0 0.734764206582
216 22993 86240.0 0.733383580705
217 23075 86007.0 0.731707884242
218 23172 85774.0 0.72984820575
219 23223 85541.0 0.72851615015
220 23279 85308.0 0.727118206968
221 23340 85362.0 0.726576228298
222 23401 85415.0 0.726031727448
223 23487 85468.0 0.725195394768
224 23566 85516.0 0.72442583844
225 23616 84958.0 0.722027354693
226 23661 84400.0 0.719656398104
227 23705 84442.0 0.71927476848
228 23770 84044.0 0.717171957546
229 23826 83647.0 0.715160137243
230 23879 83702.0 0.7147141048
231 23971 83477.0 0.712843058567
232 24043 83253.0 0.711205602201
233 24090 83029.0 0.709860410218
234 24141 83044.0 0.709298685034
235 24245 83060.0 0.708102576451
236 24348 83092.0 0.706975400761
237 24388 83012.0 0.706211150195
238 24470 83049.0 0.705354670134
239 24567 83086.0 0.704318417062
240 24590 83124.0 0.704176892354
241 24670 83180.0 0.703414282279
242 24787 83214.0 0.702129449372
243 24835 83154.0 0.701337277822
244 24878 83094.0 0.700604135076
245 24942 83034.0 0.699617024351
246 25010 83103.0 0.69904816914
247 25086 83173.0 0.698387697931
248 25162 83217.0 0.69763389692
249 25226 83139.0 0.696580425552
250 25277 83062.0 0.695685150851
251 25352 83078.0 0.694840992802
252 25437 83095.0 0.693880498225
253 25484 83125.0 0.69342556391
254 25528 83156.0 0.693010726827
255 25582 83187.0 0.692475987835
256 25671 83219.0 0.691524771987
257 25699 83251.0 0.691307011327
258 25761 83229.0 0.690480481563
259 25830 83208.0 0.689573117969
260 25914 83186.0 0.688481234823
261 25967 83165.0 0.687765285877
262 26034 83162.0 0.68694836584
263 26075 83160.0 0.686447811448
264 26114 83158.0 0.685971283581
265 26171 83129.0 0.685176051679
266 26236 83100.0 0.684283995187
267 26298 83071.0 0.683427429548
268 26339 83042.0 0.682823149731
269 26400 83013.0 0.681977521593
270 26432 82697.0 0.680375346143
271 26481 82381.0 0.678554521067
272 26466 82065.0 0.677499543045
273 26499 81940.0 0.676604832804
274 26581 81815.0 0.675108476441
275 26636 81690.0 0.673938058514
276 26698 81565.0 0.672678232085
277 26739 81440.0 0.671672396857
278 26787 81315.0 0.670577384246
279 26862 81356.0 0.669821525149
280 26945 81397.0 0.668968143789
281 26989 80994.0 0.666777786009
282 27056 80591.0 0.664280130536
283 27128 80188.0 0.661695016711
284 27193 79785.0 0.659171523469
285 27261 79382.0 0.65658461616
286 27296 78979.0 0.654389141417
287 27379 78577.0 0.65156470723
288 27413 78174.0 0.649333538005
289 27448 77771.0 0.647066387214
290 27485 77368.0 0.644749767346
291 27478 76965.0 0.642980575586
292 27515 76562.0 0.640618061179
293 27603 76159.0 0.637560892344
294 27650 75757.0 0.635017226131
295 27693 75729.0 0.634314463416
296 27706 75750.0 0.634244224422
297 27725 75755.0 0.634017556597
298 27797 75786.0 0.6332172169
299 27894 75817.0 0.632087790337
300 27991 75853.0 0.630983613041
301 28012 75890.0 0.630886809856
302 28062 75856.0 0.63006222316
303 28153 75822.0 0.628696156788
304 28207 75788.0 0.627817068665
305 28239 75754.0 0.627227605143
306 28278 75776.0 0.626821157095
307 28349 75896.0 0.626475703594
308 28435 76017.0 0.625938934712
309 28494 76078.0 0.625463340256
310 28541 76140.0 0.625151037562
311 28579 76202.0 0.624957350201
312 28701 76153.0 0.623113994196
313 28733 76104.0 0.622450856722
314 28770 76055.0 0.621721122872
315 28850 76006.0 0.620424703313
316 28906 76040.0 0.61985796949
317 28959 76075.0 0.6193361814
318 29047 76110.0 0.618355012482
319 29108 76145.0 0.617729332195
320 29102 76180.0 0.617983722762
321 29177 76132.0 0.616757736563
322 29237 76085.0 0.615732404548
323 29283 76037.0 0.614884858687
324 29348 75990.0 0.613791288327
325 29410 75943.0 0.61273586769
326 29477 75868.0 0.611469921443
327 29522 75794.0 0.610496873103
328 29569 75719.0 0.609490352487
329 29602 75645.0 0.608672086721
330 29650 75571.0 0.607653729605
331 29670 75496.0 0.606999046307
332 29690 75422.0 0.606348280343
333 29767 75347.0 0.604934503033
334 29809 75273.0 0.603988149801
335 29861 75199.0 0.60290695355
336 29922 75193.0 0.602064021917
337 29921 75187.0 0.602045566388
338 29962 75181.0 0.601468456126
339 30010 75175.0 0.600798137679
340 30036 75169.0 0.600420386063
341 30021 75163.0 0.600588055293
342 30099 75098.0 0.599203707156
343 30171 75034.0 0.597902284298
344 30257 74969.0 0.596406514693
345 30345 74905.0 0.594886856685
346 30392 74841.0 0.59391242768
347 30409 74394.0 0.59124391752
348 30433 73947.0 0.588448483373
349 30451 73500.0 0.585700680272
350 30454 73053.0 0.583124580784
351 30503 72937.0 0.581789763769
352 30529 72822.0 0.580772294087
353 30545 72706.0 0.579883365885
354 30588 72591.0 0.578625449436
355 30656 72475.0 0.577012763022
356 30741 72360.0 0.575165837479
357 30804 72244.0 0.57361164941
358 30766 72129.0 0.573458664338
359 30806 72013.0 0.572216127644
360 30847 71898.0 0.570961640101
361 30918 71644.0 0.568449556139
362 30899 71391.0 0.567186340015
