#time,x,y,location_type
-14,-0.3175825654706006,51.596171610404554,house
-14,-0.37695365213530174,51.60906076134342,house
-14,-0.34699273271718645,51.576645088942435,house
-14,-0.3302916931222784,51.60065756512927,house
-14,-0.30830726789837953,51.589132509724394,house
-14,-0.38592441480465817,51.57856317155325,house
-14,-0.34031480149697596,51.56206493371344,house
-14,-0.3676923548861333,51.58723735871594,house
-14,-0.388885549928014,51.60501609683058,house
-14,-0.3791335667618676,51.60873385524335,house
-14,-0.38271018137091734,51.600251608167135,house
-14,-0.34358446063535114,51.60017508566984,house
-12,-0.3622876791455549,51.5883696865322,house
-12,-0.2897570567696151,51.6056445149114,house
-12,-0.3686734309736148,51.57633798337957,house
-12,-0.3927866636834777,51.59656574005376,house
-12,-0.3302498982658715,51.59159114004915,house
-12,-0.3185921008766999,51.59400025455818,house
-12,-0.3240773753290294,51.581683418384515,house
-12,-0.2960552240110664,51.62258630471012,house
-12,-0.2946004780760898,51.62044748344887,house
-12,-0.3665125635185191,51.59594903804483,house
-12,-0.369717656561793,51.56752594759694,house
-12,-0.37775860020774055,51.57497423587425,house
-12,-0.34741278086137417,51.59926322425913,house
-12,-0.3540905019229316,51.55925609285589,house
-12,-0.28438366008282867,51.611745739854484,house
-12,-0.29739461982617427,51.60757597171989,house
-12,-0.3433022716019608,51.56532768827266,house
-13,-0.35762837220213767,51.58521444763597,house
-13,-0.37696399567874,51.61209700939055,house
-13,-0.3057156619514196,51.61156220726815,house
-13,-0.36928239038254473,51.59477107369394,house
-13,-0.3715801428195066,51.556272093866625,house
-13,-0.3853177021890201,51.585759837490606,house
-13,-0.308655170768768,51.598812436657354,house
-13,-0.3963461310836259,51.59849497725687,house
-13,-0.2914158601424422,51.61229692579917,house
-13,-0.3931605763999149,51.58414574199752,house
-13,-0.3733543751301182,51.58659477153404,house
-13,-0.3303101075915933,51.60683808534735,house
-13,-0.3555617536274088,51.57086692852046,house
-13,-0.3775774821280049,51.6045929697097,house
-13,-0.3285077940614141,51.60792229011833,house
-13,-0.3120038960079963,51.60004578539742,house
-13,-0.32201557431815403,51.58276641741647,house
-19,-0.35723564771755517,51.585023725352656,house
-19,-0.3782247983987718,51.60713472293094,house
-19,-0.36192932381655596,51.56771486730132,house
-19,-0.28565935521078845,51.58823617192243,house
-19,-0.3953972927125166,51.60174715782562,house
-19,-0.28772957563099927,51.61558303418513,house
-19,-0.2765851019478881,51.602710031007575,house
-19,-0.3593540335275452,51.58030760918025,house
-19,-0.368733210223374,51.56177667369904,house
-19,-0.36337748209737797,51.59421432227626,house
-19,-0.311764583951316,51.60853632635167,house
-19,-0.38868797670620914,51.59366098592193,house
-19,-0.31899298988282115,51.619446784620855,house
-19,-0.35316932523246614,51.58027696379869,house
-19,-0.3210123595169228,51.61888017746355,house
-19,-0.37838628193140356,51.6025978999909,house
-19,-0.31227829880156516,51.61526977450311,house
-20,-0.35364706756181447,51.56378374593936,house
-20,-0.309376889565555,51.616484076842966,house
-20,-0.3500100526410913,51.58357575189371,house
-20,-0.35243675826221166,51.596474964639626,house
-20,-0.3742466388288364,51.608959518962635,house
-20,-0.35230434270763983,51.604206599518406,house
-20,-0.3416768605481708,51.61180497875055,house
-20,-0.36644181891335187,51.57778034059911,house
-20,-0.38630822162961825,51.60962034039096,house
-20,-0.3850762417124698,51.58643287395625,house
-20,-0.37852848955103346,51.59703591392778,house
-20,-0.35354895928760616,51.59084590519795,house
-20,-0.3096120525897155,51.590728564252004,house
