Day,Ituri sim,Ituri data,Ituri error,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
36,689,141,3.8865248227,0,12208,1.0,122,41076,0.997029895803,0,615,1.0,0,395,1.0,2060,55455,0.962852763502,1,126,0.992063492063,153,1686,0.909252669039,7903,24998,0.683854708377,2772,10042,0.723959370643,1540,2915,0.471698113208,2.3023326933858885,149657,58859,58859,15240,0
37,729,145,4.0275862069,0,12547,1.0,140,41075,0.99659160073,0,632,1.0,0,406,1.0,2210,55543,0.960211007688,1,126,0.992063492063,168,1733,0.903058280439,8268,25693,0.678200288016,2909,10123,0.712634594488,1628,3144,0.482188295165,2.2574831453229307,151167,60369,60369,16053,0
38,757,149,4.08053691275,0,12886,1.0,151,41074,0.996323708429,0,649,1.0,0,417,1.0,2341,55955,0.9581628094,1,126,0.992063492063,193,1779,0.891512085441,8635,26387,0.672755523553,3046,10205,0.701518863302,1707,3373,0.49392232434,2.208691038873348,153000,62202,62202,16831,0
39,803,153,4.24836601307,0,13225,1.0,169,41074,0.995885474996,0,666,1.0,0,428,1.0,2485,56421,0.955956115631,1,126,0.992063492063,223,1826,0.877875136911,8970,27082,0.668783693966,3194,10287,0.689511033343,1774,3602,0.507495835647,2.16206390813206,154890,64092,64092,17619,0
40,851,157,4.42038216561,0,13564,1.0,190,41073,0.995374090035,0,683,1.0,0,439,1.0,2662,56577,0.952949078247,1,126,0.992063492063,248,1873,0.867592098238,9317,27776,0.664566532258,3355,10369,0.676439386633,1864,3832,0.51356993737,2.1222305127072834,156469,65671,65671,18488,0
41,896,161,4.5652173913,0,13903,1.0,219,41072,0.994667900273,0,700,1.0,0,450,1.0,2810,56943,0.950652406793,1,126,0.992063492063,281,1920,0.853645833333,9707,28470,0.65904460836,3496,10450,0.665454545455,1954,4061,0.518837724698,2.0807317145483117,158256,67458,67458,19364,0
42,930,165,4.63636363636,0,14242,1.0,238,41071,0.994205156923,0,717,1.0,0,461,1.0,2990,57246,0.947769276456,1,126,0.992063492063,305,1967,0.844941535333,10091,29165,0.654003085891,3622,10532,0.656095708318,2031,4290,0.526573426573,2.0424375578168363,159982,69184,69184,20208,0
43,970,169,4.73964497041,0,14581,1.0,266,41070,0.993523252983,1,734,0.99863760218,0,472,1.0,3137,57480,0.945424495477,1,155,0.993548387097,340,2014,0.831181727905,10474,29859,0.649217991225,3763,10614,0.645468249482,2112,4519,0.532639964594,2.0065896231074234,161667,70869,70869,21064,0
44,1010,172,4.87209302326,0,14920,1.0,283,41069,0.993109157759,1,751,0.998668442077,0,483,1.0,3298,57756,0.942897707597,1,184,0.994565217391,374,2060,0.818446601942,10836,30554,0.645349217778,3921,10696,0.633414360509,2190,4748,0.538753159225,1.9719677663750947,163393,72595,72595,21914,0
45,1049,176,4.96022727273,0,15260,1.0,307,41069,0.992524775378,2,768,0.997395833333,0,494,1.0,3458,58086,0.94046758255,1,213,0.995305164319,402,2107,0.809207403892,11206,31248,0.641385048643,4066,10777,0.622715041292,2269,4977,0.544102873217,1.9382470387350927,165175,74377,74377,22760,0
