Time,Belom,
174,26888,26279
175,26871,26294
176,26881,26442
177,26870,26591
178,26892,26739
179,26866,26888
180,26889,27036
181,26864,27185
182,26882,27334
183,26871,27482
184,26884,27631
185,26873,27779
186,26879,27928
187,26877,28076
188,26883,28225
189,26865,28374
190,26884,28374
191,26876,28375
192,26876,28376
193,26876,28376
194,26880,28377
195,26872,28378
196,26884,28379
197,26865,28383
198,26892,28388
199,26867,28393
200,26897,28398
201,26868,28403
202,26883,28408
203,26869,28413
204,26884,28418
205,26869,28423
206,26887,28428
207,26868,28433
208,26889,28438
209,26872,28443
210,26887,28448
211,26879,28453
212,26872,28458
213,26890,28463
214,26864,28468
215,26880,28473
216,26880,28478
217,26863,28483
218,26886,28481
219,26876,28479
220,26875,28477
221,26878,28475
222,26875,28473
223,26879,28471
224,26871,28470
225,26889,28417
226,26869,28364
227,26880,28312
228,26872,28259
229,26880,28207
230,26869,28154
231,26890,28101
232,26864,28049
233,26888,27996
234,26867,27944
235,26884,27891
236,26867,27838
237,26880,27786
238,26874,27733
239,26869,27681
240,26877,27628
241,26875,27575
242,26880,27523
243,26882,27470
244,26881,27418
245,26878,27365
246,26881,27312
247,26873,27260
248,26888,27207
249,26871,27155
250,26894,27102
251,26865,27049
252,26888,26997
253,26871,26944
254,26883,26892
255,26871,26839
256,26886,26786
257,26873,26734
258,26880,26681
259,26875,26629
260,26881,26576
261,26868,26523
262,26880,26471
263,26872,26418
264,26879,26366
265,26871,26313
266,26879,26261
267,26888,26264
268,26866,26268
269,26889,26272
270,26872,26275
271,26880,26279
272,26870,26283
273,26881,26287
274,26870,26290
275,26885,26294
276,26867,26298
277,26887,26301
278,26869,26305
279,26888,26309
280,26865,26313
281,26903,26309
282,26879,26305
283,26869,26301
284,26874,26298
285,26873,26294
286,26887,26290
287,26866,26287
288,26883,26291
289,26875,26295
290,26879,26300
291,26877,26304
292,26876,26308
293,26871,26313
294,26880,26317
295,26874,26322
296,26879,26326
297,26873,26330
298,26880,26335
299,26872,26339
300,26878,26344
301,26874,26348
302,26884,26352
303,26873,26357
304,26882,26361
305,26879,26366
306,26882,26370
307,26875,26374
308,26890,26379
309,26873,26383
310,26876,26388
311,26869,26392
312,26882,26396
313,26871,26401
314,26879,26405
315,26874,26410
316,26874,26408
317,26877,26406
318,26883,26404
319,26867,26402
320,26887,26400
321,26867,26399
322,26879,26397
323,26866,26395
324,26881,26393
325,26871,26391
326,26873,26390
327,26879,26388
328,26865,26386
329,26886,26384
330,26866,26382
331,26904,26381
332,26877,26387
333,26876,26394
334,26872,26400
335,26875,26407
336,26879,26414
337,26875,26414
338,26878,26415
339,26871,26416
340,26892,26417
341,26865,26417
342,26886,26418
343,26864,26419
344,26887,26420
345,26865,26421
346,26885,26421
347,26864,26422
348,26889,26423
349,26864,26424
350,26897,26425
351,26876,26428
352,26870,26432
353,26877,26436
354,26885,26439
355,26875,26443
356,26880,26447
357,26874,26450
358,26876,26454
359,26883,26458
360,26875,26461
361,26871,26465
362,26880,26469
363,26877,26472
364,26876,26476
365,26883,26480
366,26879,26483
367,26878,26487
368,26874,26491
369,26880,26494
370,26869,26498
371,26880,26502
372,26865,26504
373,26895,26506
374,26869,26508
375,26882,26510
376,26872,26512
377,26888,26514
378,26865,26517
379,26891,26519
380,26863,26522
381,26903,26524
382,26878,26527
383,26877,26529
384,26878,26532
385,26876,26534
386,26878,26537
387,26864,26539
388,26886,26542
389,26872,26544
390,26876,26547
391,26874,26549
392,26881,26552
393,26879,26554
394,26871,26557
395,26878,26559
396,26873,26562
397,26875,26564
398,26872,26567
399,26881,26569
400,26881,26572
401,26879,26575
402,26873,26577
403,26890,26580
404,26867,26582
405,26884,26585
406,26881,26587
407,26871,26590
408,26877,26592
409,26884,26595
410,26870,26597
411,26885,26600
412,26872,26602
413,26882,26605
414,26863,26607
415,26887,26610
416,26866,26612
417,26891,26615
418,26875,26617
419,26874,26620
420,26876,26622
421,26882,26625
422,26869,26628
423,26878,26630
424,26876,26633
425,26874,26635
426,26879,26638
427,26874,26640
428,26878,26643
429,26874,26645
430,26881,26648
431,26873,26650
432,26878,26653
433,26871,26655
434,26884,26658
435,26869,26660
436,26886,26663
437,26871,26665
438,26878,26668
439,26867,26670
440,26884,26673
441,26871,26675
442,26884,26678
443,26864,26681
444,26894,26683
445,26863,26686
446,26887,26688
447,26867,26691
448,26885,26693
449,26870,26696
450,26890,26698
451,26871,26701
452,26879,26703
453,26881,26706
454,26877,26708
455,26865,26711
456,26886,26713
457,26865,26716
458,26884,26718
459,26881,26721
460,26865,26723
461,26881,26726
462,26869,26728
463,26887,26731
464,26863,26734
465,26900,26736
466,26884,26739
467,26865,26741
468,26886,26744
469,26870,26746
470,26889,26749
471,26873,26751
472,26885,26754
473,26873,26756
474,26873,26759
475,26878,26761
476,26872,26764
477,26884,26766
478,26871,26769
479,26869,26771
480,26889,26774
481,26866,26776
482,26893,26779
483,26866,26781
484,26876,26784
485,26880,26787
486,26867,26788
487,26888,26789
488,26868,26790
489,26885,26791
490,26867,26792
491,26882,26793
492,26877,26795
493,26874,26796
494,26877,26797
495,26866,26798
496,26895,26799
497,26866,26800
498,26884,26801
499,26865,26803
500,26891,26804
501,26869,26805
502,26885,26806
503,26870,26807
504,26880,26808
505,26871,26809
506,26880,26811
507,26871,26812
508,26881,26813
509,26878,26814
510,26873,26815
511,26882,26816
512,26874,26817
513,26887,26819
514,26872,26820
515,26879,26821
516,26875,26822
517,26872,26823
518,26880,26824
519,26874,26825
520,26872,26827
521,26880,26828
522,26870,26829
523,26880,26830
524,26879,26831
525,26884,26832
526,26864,26833
527,26894,26835
528,26874,26836
529,26878,26837
530,26886,26838
531,26866,26839
532,26887,26840
533,26864,26841
534,26890,26843
535,26867,26844
536,26892,26845
537,26866,26846
538,26886,26847
539,26865,26848
540,26895,26849
541,26867,26851
542,26884,26852
543,26873,26853
544,26877,26854
545,26890,26855
546,26865,26856
547,26890,26857
548,26873,26859
549,26878,26857
550,26879,26855
551,26876,26854
552,26871,26852
553,26891,26850
554,26866,26849
555,26890,26847
556,26875,26845
557,26878,26844
558,26876,26842
559,26869,26840
560,26889,26839
561,26868,26837
562,26890,26836
563,26869,26834
564,26884,26832
565,26876,26831
566,26877,26829
567,26873,26827
568,26880,26826
569,26876,26824
570,26873,26822
571,26889,26821
572,26864,26819
573,26893,26817
574,26865,26816
575,26885,26814
576,26866,26813
577,26894,26814
578,26869,26816
579,26887,26817
580,26864,26819
581,26897,26821
582,26870,26822
583,26887,26824
584,26874,26825
585,26882,26827
586,26870,26829
587,26880,26830
588,26869,26832
589,26878,26833
590,26884,26835
591,26866,26837
592,26894,26838
593,26866,26840
594,26885,26842
595,26866,26843
596,26883,26845
597,26873,26846
598,26879,26848
599,26871,26850
600,26883,26851
601,26866,26853
602,26884,26854
603,26873,26856
604,26891,26858
605,26864,26859
606,26882,26861
607,26880,26863
608,26877,26595
609,26870,26327
610,26882,26059
611,26871,25791
612,26882,25523
613,26872,25255
614,26888,24987
615,26867,24719
616,26889,24451
617,26868,24183
618,26884,23915
619,26866,23647
620,26884,23379
621,26869,23111
622,26886,22843
623,26870,22576
624,26896,22308
625,26865,22040
626,26889,21772
627,26867,21504
628,26895,21236
629,26872,20968
630,26879,20700
631,26869,20432
632,26880,20164
633,26868,19896
634,26877,19628
635,26876,19360
636,26871,19092
637,26880,18824
638,26879,18557
639,26884,18556
640,26864,18555
641,26893,18555
642,26865,18554
643,26890,18553
644,26874,18553
645,26880,18552
646,26865,18551
647,26893,18551
648,26872,18550
649,26883,18550
650,26870,18549
651,26883,18548
652,26870,18548
653,26874,18547
654,26874,18546
655,26876,18546
656,26875,18545
657,26874,18544
658,26871,18544
659,26880,18543
660,26869,18543
661,26877,18542
662,26874,18541
663,26883,18541
664,26867,18540
665,26878,18539
666,26871,18539
667,26881,18538
668,26874,18538
669,26879,18537
670,26878,18537
671,26872,18537
672,26885,18536
673,26872,18536
674,26877,18536
675,26876,18536
676,26870,18535
677,26885,18535
678,26865,18535
679,26882,18535
680,26869,18534
681,26885,18534
682,26868,18534
683,26886,18534
684,26866,18533
685,26886,18533
686,26865,18533
687,26880,18533
688,26885,18532
689,26874,18532
690,26875,18532
691,26875,18532
692,26881,18531
693,26869,18531
694,26884,18531
695,26869,18531
696,26884,18530
697,26864,18530
698,26893,18530
699,26871,18530
700,26883,18536
701,26870,18543
702,26880,18549
703,26866,18556
704,26889,18562
705,26864,18569
706,26889,18575
707,26866,18582
708,26881,18589
709,26866,18595
710,26893,18602
711,26864,18608
712,26887,18615
713,26867,18621
714,26885,18628
715,26875,18635
716,26868,18641
717,26887,18648
718,26866,18654
719,26881,18661
720,26864,18667
721,26891,18674
722,26867,18681
723,26875,18687
724,26877,18694
725,26876,18700
726,26878,18707
727,26871,18713
728,26896,18720
729,26870,18727
730,26880,18727
731,26878,18728
732,26882,18729
733,26874,18730
734,26876,18730
735,26875,18731
736,26872,18732
737,26883,18733
738,26878,18733
739,26882,18734
740,26864,18735
741,26895,18736
742,26863,18737
743,26884,18737
744,26869,18738
745,26875,18739
746,26867,18740
747,26884,18740
748,26873,18741
749,26871,18742
750,26872,18743
751,26889,18744
752,26864,18744
753,26891,18745
754,26866,18746
755,26885,18747
756,26870,18747
757,26885,18748
758,26869,18749
759,26883,18750
760,26871,18751
761,26882,18751
762,26871,18751
763,26878,18751
764,26880,18751
765,26880,18751
766,26875,18751
767,26884,18751
768,26871,18751
769,26876,18751
770,26871,18751
771,26885,18751
772,26866,18751
773,26892,18751
774,26868,18751
775,26880,18751
776,26872,18752
777,26880,18752
778,26871,18752
779,26879,18752
780,26883,18752
781,26877,18752
782,26877,18752
783,26883,18752
784,26864,18752
785,26895,18752
786,26869,18752
787,26888,18752
788,26868,18752
789,26887,18752
790,26869,18752
791,26886,18753
792,26876,18759
793,26879,18765
794,26872,18771
795,26882,18777
796,26868,18783
797,26885,18790
798,26865,18796
799,26892,18802
800,26870,18808
801,26885,18814
802,26868,18820
803,26888,18827
804,26869,18833
805,26885,18839
806,26868,18845
807,26887,18851
808,26865,18857
809,26888,18864
810,26868,18870
811,26896,18876
812,26873,18882
813,26883,18888
814,26879,18894
815,26874,18901
816,26869,18907
817,26881,18913
818,26866,18919
819,26882,18925
